"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20201203.csv"
"C","Report for 12/03/2020"
"C","Report generated 12/10/2020 02:30:01 EST"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","12/03/2020","02:04:41","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","02:04:41","Refuse","Renewables",322,"No"
"D","12/03/2020","02:04:41","Solar","Renewables",1,"No"
"D","12/03/2020","02:04:41","Wind","Renewables",632,"No"
"D","12/03/2020","02:04:41","Wood","Renewables",277,"No"
"D","12/03/2020","02:19:59","Coal","Coal",6,"No"
"D","12/03/2020","02:19:59","Hydro","Hydro",967,"No"
"D","12/03/2020","02:19:59","Natural Gas","Natural Gas",2692,"Yes"
"D","12/03/2020","02:19:59","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","02:19:59","Other","Other",1,"No"
"D","12/03/2020","02:19:59","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","02:19:59","Refuse","Renewables",323,"No"
"D","12/03/2020","02:19:59","Solar","Renewables",1,"No"
"D","12/03/2020","02:19:59","Wind","Renewables",664,"No"
"D","12/03/2020","02:19:59","Wood","Renewables",278,"No"
"D","12/03/2020","02:37:14","Coal","Coal",2,"No"
"D","12/03/2020","02:37:14","Hydro","Hydro",972,"No"
"D","12/03/2020","02:37:14","Natural Gas","Natural Gas",2595,"Yes"
"D","12/03/2020","02:37:14","Nuclear","Nuclear",3343,"No"
"D","12/03/2020","02:37:14","Other","Other",2,"No"
"D","12/03/2020","02:37:14","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","02:37:14","Refuse","Renewables",322,"No"
"D","12/03/2020","02:37:14","Solar","Renewables",1,"No"
"D","12/03/2020","02:37:14","Wind","Renewables",707,"No"
"D","12/03/2020","02:37:14","Wood","Renewables",286,"No"
"D","12/03/2020","02:50:19","Hydro","Hydro",970,"No"
"D","12/03/2020","02:50:19","Natural Gas","Natural Gas",2556,"Yes"
"D","12/03/2020","02:50:19","Nuclear","Nuclear",3343,"No"
"D","12/03/2020","02:50:19","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","02:50:19","Refuse","Renewables",324,"No"
"D","12/03/2020","02:50:19","Solar","Renewables",1,"No"
"D","12/03/2020","02:50:19","Wind","Renewables",727,"No"
"D","12/03/2020","02:50:19","Wood","Renewables",284,"No"
"D","12/03/2020","03:04:48","Hydro","Hydro",971,"No"
"D","12/03/2020","03:04:48","Natural Gas","Natural Gas",2600,"Yes"
"D","12/03/2020","03:04:48","Nuclear","Nuclear",3346,"No"
"D","12/03/2020","03:04:48","Other","Other",4,"No"
"D","12/03/2020","03:04:48","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","03:04:48","Refuse","Renewables",320,"No"
"D","12/03/2020","03:04:48","Solar","Renewables",1,"No"
"D","12/03/2020","03:04:48","Wind","Renewables",705,"No"
"D","12/03/2020","03:04:48","Wood","Renewables",287,"No"
"D","12/03/2020","03:19:59","Coal","Coal",0,"No"
"D","12/03/2020","03:19:59","Hydro","Hydro",967,"No"
"D","12/03/2020","03:19:59","Natural Gas","Natural Gas",2693,"Yes"
"D","12/03/2020","03:19:59","Nuclear","Nuclear",3347,"No"
"D","12/03/2020","03:19:59","Other","Other",2,"No"
"D","12/03/2020","03:19:59","Landfill Gas","Renewables",20,"No"
