"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20200609.csv"
"C","Report for 06/09/2020"
"C","Report generated 06/15/2020 01:54:20 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","06/09/2020","00:46:52","Hydro","Hydro",357,"No"
"D","06/09/2020","00:46:52","Natural Gas","Natural Gas",4278,"Yes"
"D","06/09/2020","00:46:52","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","00:46:52","Other","Other",3,"No"
"D","06/09/2020","00:46:52","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:46:52","Refuse","Renewables",318,"No"
"D","06/09/2020","00:46:52","Wind","Renewables",309,"No"
"D","06/09/2020","00:46:52","Wood","Renewables",256,"No"
"D","06/09/2020","00:56:28","Hydro","Hydro",407,"No"
"D","06/09/2020","00:56:28","Natural Gas","Natural Gas",4549,"Yes"
"D","06/09/2020","00:56:28","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","00:56:28","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:56:28","Refuse","Renewables",312,"No"
"D","06/09/2020","00:56:28","Wind","Renewables",262,"No"
"D","06/09/2020","00:56:28","Wood","Renewables",255,"No"
"D","06/09/2020","00:59:33","Hydro","Hydro",407,"No"
"D","06/09/2020","00:59:33","Natural Gas","Natural Gas",4549,"Yes"
"D","06/09/2020","00:59:33","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","00:59:33","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:59:33","Refuse","Renewables",312,"No"
"D","06/09/2020","00:59:33","Wind","Renewables",262,"No"
"D","06/09/2020","00:59:33","Wood","Renewables",255,"No"
"D","06/09/2020","01:05:56","Hydro","Hydro",405,"No"
"D","06/09/2020","01:05:56","Natural Gas","Natural Gas",4459,"Yes"
"D","06/09/2020","01:05:56","Nuclear","Nuclear",2067,"No"
"D","06/09/2020","01:05:56","Other","Other",1,"No"
"D","06/09/2020","01:05:56","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","01:05:56","Refuse","Renewables",316,"No"
"D","06/09/2020","01:05:56","Wind","Renewables",239,"No"
"D","06/09/2020","01:05:56","Wood","Renewables",255,"No"
"D","06/09/2020","01:14:19","Hydro","Hydro",405,"No"
"D","06/09/2020","01:14:19","Natural Gas","Natural Gas",4530,"Yes"
"D","06/09/2020","01:14:19","Nuclear","Nuclear",2067,"No"
"D","06/09/2020","01:14:19","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","01:14:19","Refuse","Renewables",317,"No"
"D","06/09/2020","01:14:19","Wind","Renewables",243,"No"
"D","06/09/2020","01:14:19","Wood","Renewables",256,"No"
"D","06/09/2020","01:15:54","Hydro","Hydro",405,"No"
"D","06/09/2020","01:15:54","Natural Gas","Natural Gas",4546,"Yes"
