"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20180325.csv"
"C","Report for 03/25/2018"
"C","Report generated 04/16/2020 21:31:00 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","03/25/2018","00:10:12","Hydro","Hydro",656,"No"
"D","03/25/2018","00:10:12","Natural Gas","Natural Gas",3209,"Yes"
"D","03/25/2018","00:10:12","Nuclear","Nuclear",3351,"No"
"D","03/25/2018","00:10:12","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","00:10:12","Refuse","Renewables",373,"No"
"D","03/25/2018","00:10:12","Wind","Renewables",495,"Yes"
"D","03/25/2018","00:10:12","Wood","Renewables",309,"No"
"D","03/25/2018","00:22:25","Hydro","Hydro",656,"No"
"D","03/25/2018","00:22:25","Natural Gas","Natural Gas",3295,"Yes"
"D","03/25/2018","00:22:25","Nuclear","Nuclear",3351,"No"
"D","03/25/2018","00:22:25","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","00:22:25","Refuse","Renewables",369,"No"
"D","03/25/2018","00:22:25","Wind","Renewables",517,"No"
"D","03/25/2018","00:22:25","Wood","Renewables",313,"No"
"D","03/25/2018","00:40:35","Hydro","Hydro",657,"No"
"D","03/25/2018","00:40:35","Natural Gas","Natural Gas",3242,"Yes"
"D","03/25/2018","00:40:35","Nuclear","Nuclear",3348,"No"
"D","03/25/2018","00:40:35","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","00:40:35","Refuse","Renewables",367,"No"
"D","03/25/2018","00:40:35","Solar","Renewables",0,"No"
"D","03/25/2018","00:40:35","Wind","Renewables",507,"No"
"D","03/25/2018","00:40:35","Wood","Renewables",310,"No"
"D","03/25/2018","01:01:31","Hydro","Hydro",643,"No"
"D","03/25/2018","01:01:31","Natural Gas","Natural Gas",3276,"Yes"
"D","03/25/2018","01:01:31","Nuclear","Nuclear",3351,"No"
"D","03/25/2018","01:01:31","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","01:01:31","Refuse","Renewables",369,"No"
"D","03/25/2018","01:01:31","Wind","Renewables",531,"No"
"D","03/25/2018","01:01:31","Wood","Renewables",310,"No"
"D","03/25/2018","01:12:38","Hydro","Hydro",644,"No"
"D","03/25/2018","01:12:38","Natural Gas","Natural Gas",3281,"Yes"
"D","03/25/2018","01:12:38","Nuclear","Nuclear",3349,"No"
"D","03/25/2018","01:12:38","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","01:12:38","Refuse","Renewables",367,"No"
"D","03/25/2018","01:12:38","Wind","Renewables",510,"No"
"D","03/25/2018","01:12:38","Wood","Renewables",315,"No"
"D","03/25/2018","01:19:08","Hydro","Hydro",633,"No"
"D","03/25/2018","01:19:08","Natural Gas","Natural Gas",3072,"Yes"
"D","03/25/2018","01:19:08","Nuclear","Nuclear",3352,"No"
"D","03/25/2018","01:19:08","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","01:19:08","Refuse","Renewables",369,"No"
"D","03/25/2018","01:19:08","Wind","Renewables",511,"No"
"D","03/25/2018","01:19:08","Wood","Renewables",315,"No"
"D","03/25/2018","01:22:01","Hydro","Hydro",623,"No"
"D","03/25/2018","01:22:01","Natural Gas","Natural Gas",3060,"Yes"
"D","03/25/2018","01:22:01","Nuclear","Nuclear",3349,"No"
"D","03/25/2018","01:22:01","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","01:22:01","Refuse","Renewables",370,"No"
"D","03/25/2018","01:22:01","Solar","Renewables",0,"No"
"D","03/25/2018","01:22:01","Wind","Renewables",497,"No"
"D","03/25/2018","01:22:01","Wood","Renewables",308,"No"
"D","03/25/2018","01:27:00","Hydro","Hydro",622,"No"
"D","03/25/2018","01:27:00","Natural Gas","Natural Gas",3241,"Yes"
"D","03/25/2018","01:27:00","Nuclear","Nuclear",3350,"No"
"D","03/25/2018","01:27:00","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","01:27:00","Refuse","Renewables",370,"No"
"D","03/25/2018","01:27:00","Solar","Renewables",0,"No"
"D","03/25/2018","01:27:00","Wind","Renewables",490,"No"
"D","03/25/2018","01:27:00","Wood","Renewables",307,"No"
"D","03/25/2018","01:30:23","Hydro","Hydro",613,"No"
"D","03/25/2018","01:30:23","Natural Gas","Natural Gas",3069,"Yes"
"D","03/25/2018","01:30:23","Nuclear","Nuclear",3351,"No"
"D","03/25/2018","01:30:23","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","01:30:23","Refuse","Renewables",365,"No"
"D","03/25/2018","01:30:23","Wind","Renewables",484,"No"
"D","03/25/2018","01:30:23","Wood","Renewables",309,"No"
"D","03/25/2018","01:32:37","Hydro","Hydro",607,"No"
"D","03/25/2018","01:32:37","Natural Gas","Natural Gas",3161,"Yes"
"D","03/25/2018","01:32:37","Nuclear","Nuclear",3352,"No"
"D","03/25/2018","01:32:37","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","01:32:37","Refuse","Renewables",368,"No"
"D","03/25/2018","01:32:37","Wind","Renewables",490,"No"
"D","03/25/2018","01:32:37","Wood","Renewables",305,"No"
"D","03/25/2018","01:41:01","Hydro","Hydro",607,"No"
"D","03/25/2018","01:41:01","Natural Gas","Natural Gas",3052,"Yes"
"D","03/25/2018","01:41:01","Nuclear","Nuclear",3351,"No"
"D","03/25/2018","01:41:01","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","01:41:01","Refuse","Renewables",370,"No"
"D","03/25/2018","01:41:01","Wind","Renewables",472,"No"
"D","03/25/2018","01:41:01","Wood","Renewables",303,"No"
"D","03/25/2018","01:53:30","Hydro","Hydro",607,"No"
"D","03/25/2018","01:53:30","Natural Gas","Natural Gas",3355,"Yes"
"D","03/25/2018","01:53:30","Nuclear","Nuclear",3351,"No"
"D","03/25/2018","01:53:30","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","01:53:30","Refuse","Renewables",369,"No"
"D","03/25/2018","01:53:30","Wind","Renewables",459,"No"
"D","03/25/2018","01:53:30","Wood","Renewables",307,"No"
"D","03/25/2018","02:10:19","Hydro","Hydro",607,"No"
"D","03/25/2018","02:10:19","Natural Gas","Natural Gas",3469,"Yes"
"D","03/25/2018","02:10:19","Nuclear","Nuclear",3349,"No"
"D","03/25/2018","02:10:19","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","02:10:19","Refuse","Renewables",369,"No"
"D","03/25/2018","02:10:19","Solar","Renewables",0,"No"
"D","03/25/2018","02:10:19","Wind","Renewables",455,"No"
"D","03/25/2018","02:10:19","Wood","Renewables",308,"No"
"D","03/25/2018","02:19:20","Hydro","Hydro",607,"No"
"D","03/25/2018","02:19:20","Natural Gas","Natural Gas",3231,"Yes"
"D","03/25/2018","02:19:20","Nuclear","Nuclear",3351,"No"
"D","03/25/2018","02:19:20","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","02:19:20","Refuse","Renewables",365,"No"
"D","03/25/2018","02:19:20","Wind","Renewables",448,"No"
"D","03/25/2018","02:19:20","Wood","Renewables",307,"No"
"D","03/25/2018","02:25:45","Hydro","Hydro",607,"No"
"D","03/25/2018","02:25:45","Natural Gas","Natural Gas",3371,"Yes"
"D","03/25/2018","02:25:45","Nuclear","Nuclear",3349,"No"
"D","03/25/2018","02:25:45","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","02:25:45","Refuse","Renewables",370,"No"
"D","03/25/2018","02:25:45","Solar","Renewables",0,"No"
"D","03/25/2018","02:25:45","Wind","Renewables",454,"No"
"D","03/25/2018","02:25:45","Wood","Renewables",305,"No"
"D","03/25/2018","02:53:00","Hydro","Hydro",606,"No"
"D","03/25/2018","02:53:00","Natural Gas","Natural Gas",3212,"Yes"
"D","03/25/2018","02:53:00","Nuclear","Nuclear",3347,"No"
"D","03/25/2018","02:53:00","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","02:53:00","Refuse","Renewables",367,"No"
"D","03/25/2018","02:53:00","Solar","Renewables",0,"No"
"D","03/25/2018","02:53:00","Wind","Renewables",447,"No"
"D","03/25/2018","02:53:00","Wood","Renewables",308,"No"
"D","03/25/2018","03:04:06","Hydro","Hydro",606,"No"
"D","03/25/2018","03:04:06","Natural Gas","Natural Gas",3489,"Yes"
"D","03/25/2018","03:04:06","Nuclear","Nuclear",3351,"No"
"D","03/25/2018","03:04:06","Landfill Gas","Renewables",28,"No"
"D","03/25/2018","03:04:06","Refuse","Renewables",364,"No"
"D","03/25/2018","03:04:06","Wind","Renewables",459,"No"
"D","03/25/2018","03:04:06","Wood","Renewables",294,"No"
"D","03/25/2018","03:14:03","Hydro","Hydro",609,"No"
"D","03/25/2018","03:14:03","Natural Gas","Natural Gas",3299,"Yes"
"D","03/25/2018","03:14:03","Nuclear","Nuclear",3351,"No"
"D","03/25/2018","03:14:03","Landfill Gas","Renewables",28,"No"
