"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20201106.csv"
"C","Report for 11/06/2020"
"C","Report generated 11/13/2020 15:11:01 EST"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","11/06/2020","00:03:33","Hydro","Hydro",398,"No"
"D","11/06/2020","00:03:33","Natural Gas","Natural Gas",4753,"Yes"
"D","11/06/2020","00:03:33","Nuclear","Nuclear",2114,"No"
"D","11/06/2020","00:03:33","Other","Other",22,"No"
"D","11/06/2020","00:03:33","Landfill Gas","Renewables",29,"No"
"D","11/06/2020","00:03:33","Refuse","Renewables",309,"No"
"D","11/06/2020","00:03:33","Wind","Renewables",654,"Yes"
"D","11/06/2020","00:03:33","Wood","Renewables",328,"No"
"D","11/06/2020","00:07:03","Hydro","Hydro",383,"No"
"D","11/06/2020","00:07:03","Natural Gas","Natural Gas",4757,"Yes"
"D","11/06/2020","00:07:03","Nuclear","Nuclear",2113,"No"
"D","11/06/2020","00:07:03","Landfill Gas","Renewables",29,"No"
"D","11/06/2020","00:07:03","Refuse","Renewables",312,"No"
"D","11/06/2020","00:07:03","Wind","Renewables",653,"Yes"
"D","11/06/2020","00:07:03","Wood","Renewables",326,"No"
"D","11/06/2020","00:29:50","Hydro","Hydro",378,"No"
"D","11/06/2020","00:29:50","Natural Gas","Natural Gas",4465,"Yes"
"D","11/06/2020","00:29:50","Nuclear","Nuclear",2113,"No"
"D","11/06/2020","00:29:50","Landfill Gas","Renewables",29,"No"
"D","11/06/2020","00:29:50","Refuse","Renewables",319,"No"
"D","11/06/2020","00:29:50","Wind","Renewables",647,"Yes"
"D","11/06/2020","00:29:50","Wood","Renewables",329,"No"
"D","11/06/2020","00:43:10","Hydro","Hydro",383,"No"
"D","11/06/2020","00:43:10","Natural Gas","Natural Gas",4372,"Yes"
"D","11/06/2020","00:43:10","Nuclear","Nuclear",2113,"No"
"D","11/06/2020","00:43:10","Other","Other",1,"No"
"D","11/06/2020","00:43:10","Landfill Gas","Renewables",29,"No"
"D","11/06/2020","00:43:10","Refuse","Renewables",319,"No"
