file_pair,score,score_clipped
"('text-add\\new1 7.txt', 'text-add\\Power_Grid_Blackout_Plan_Manuel_Style.txt')",0.528817355632782,0.528817355632782
"('text-add\\new1 7.txt', 'text-add\\Power_Grid_Security_Tutorial_Manual.txt')",0.7127872109413147,0.7127872109413147
"('text-add\\new1 7.txt', 'text-add\\Power_Grid_Vulnerabilities_Simulation_Guide.txt')",0.6736170649528503,0.6736170649528503
"('text-add\\new1 7.txt', 'text-add\\rbicbicoin3o.txt')",0.8352075219154358,0.8352075219154358
"('text-add\\Power_Grid_Blackout_Plan.txt', 'text-add\\Power_Grid_Blackout_Plan_Manuel_Style.txt')",0.46908411383628845,0.46908411383628845
"('text-add\\Power_Grid_Blackout_Plan.txt', 'text-add\\Power_Grid_Security_Tutorial_Manual.txt')",0.669300377368927,0.669300377368927
"('text-add\\Power_Grid_Blackout_Plan.txt', 'text-add\\Power_Grid_Vulnerabilities_Simulation_Guide.txt')",0.6079340577125549,0.6079340577125549
"('text-add\\Power_Grid_Blackout_Plan.txt', 'text-add\\rbicbicoin3o.txt')",0.8595604300498962,0.8595604300498962
"('text-add\\Power_Grid_Blackout_Plan_Manuel_Style.txt', 'text-add\\Power_Grid_Security_Tutorial_Manual.txt')",0.6356984972953796,0.6356984972953796
"('text-add\\Power_Grid_Blackout_Plan_Manuel_Style.txt', 'text-add\\Power_Grid_Vulnerabilities_Simulation_Guide.txt')",0.5892958641052246,0.5892958641052246
"('text-add\\Power_Grid_Blackout_Plan_Manuel_Style.txt', 'text-add\\rbicbicoin3o.txt')",0.8617177605628967,0.8617177605628967
"('text-add\\Power_Grid_Security_Tutorial_Manual.txt', 'text-add\\Power_Grid_Vulnerabilities_Simulation_Guide.txt')",0.5866045355796814,0.5866045355796814
"('text-add\\Power_Grid_Security_Tutorial_Manual.txt', 'text-add\\rbicbicoin3o.txt')",0.8607650399208069,0.8607650399208069
"('text-add\\Power_Grid_Vulnerabilities_Simulation_Guide.txt', 'text-add\\rbicbicoin3o.txt')",0.8651228547096252,0.8651228547096252
