datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,WEST,OVEC,OVEC,31.000,True
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,WEST,ATSI,PAPWR,429.205,True
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,PE,PE,4076.087,False
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2589.082,False
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,PL,PLCO,3916.068,False
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,PN,PN,1656.661,True
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,PS,PS,4664.129,False
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,RECO,RECO,150.089,False
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,PEP,SMECO,305.737,True
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,PL,UGI,93.752,False
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,AE,VMEU,70.860,False
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RTO,RTO,RTO,RTO,80031.614,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,AE,AECO,914.226,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,AEP,AEPAPT,3361.858,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2780.321,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,AEP,AEPKPT,502.741,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,AEP,AEPOPT,5558.899,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,AP,AP,4311.823,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,BC,BC,3027.591,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,CE,CE,10594.158,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,DAY,DAY,1695.583,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,DEOK,DEOK,2820.251,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,9591.845,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1671.496,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,WEST,DUQ,DUQ,1380.111,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,DPL,EASTON,21.656,True
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,SERC,WEST,EKPC,EKPC,1152.290,False
7/2/2020 6:00:00 AM,7/2/2020 2:00:00 AM,RFC,MIDATL,JC,JC,2129.193,True
