datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,AE,AECO,760.243,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3487.410,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2529.096,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,AEP,AEPKPT,476.272,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,AEP,AEPOPT,4984.683,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,AP,AP,4319.955,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,BC,BC,2394.393,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,CE,CE,8355.845,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,DAY,DAY,1529.000,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,DEOK,DEOK,2233.346,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,8534.607,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1432.042,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,DUQ,DUQ,1074.251,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,DPL,EASTON,17.968,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,SERC,WEST,EKPC,EKPC,1097.768,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,JC,JC,1740.577,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,ME,ME,1334.031,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,ATSI,OE,5415.347,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,OVEC,OVEC,22.000,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,WEST,ATSI,PAPWR,421.368,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,PE,PE,3081.939,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,1965.199,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,PL,PLCO,3359.272,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,PN,PN,1616.434,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,PS,PS,3777.527,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,RECO,RECO,125.407,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,PEP,SMECO,244.890,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,PL,UGI,83.239,True
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RFC,MIDATL,AE,VMEU,63.291,False
10/6/2020 4:00:00 AM,10/6/2020 12:00:00 AM,RTO,RTO,RTO,RTO,66477.400,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,AE,AECO,730.092,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3437.862,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2538.877,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,AEP,AEPKPT,465.348,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,AEP,AEPOPT,4897.024,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,AP,AP,4213.348,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,BC,BC,2303.187,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,CE,CE,8050.277,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,DAY,DAY,1516.000,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,DEOK,DEOK,2153.127,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,8303.371,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1387.858,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,DUQ,DUQ,1038.035,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,DPL,EASTON,17.507,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,SERC,WEST,EKPC,EKPC,1092.519,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1699.319,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,ME,ME,1305.899,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,ATSI,OE,5233.222,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,OVEC,OVEC,27.000,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,WEST,ATSI,PAPWR,408.753,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,PE,PE,3020.415,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,1844.865,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,PL,PLCO,3287.731,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,PN,PN,1566.723,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,PS,PS,3649.868,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,RECO,RECO,120.780,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,PEP,SMECO,234.760,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,PL,UGI,79.834,True
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RFC,MIDATL,AE,VMEU,60.980,False
10/6/2020 5:00:00 AM,10/6/2020 1:00:00 AM,RTO,RTO,RTO,RTO,64684.581,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,AE,AECO,712.073,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,AEP,AEPAPT,3414.945,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2535.903,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,AEP,AEPKPT,466.736,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,AEP,AEPOPT,4875.343,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,AP,AP,4275.305,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,BC,BC,2257.034,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,CE,CE,7817.574,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,DAY,DAY,1488.000,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,DEOK,DEOK,2127.289,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,8210.153,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1358.570,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,DUQ,DUQ,1038.669,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,DPL,EASTON,16.987,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,SERC,WEST,EKPC,EKPC,1119.913,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1644.632,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,ME,ME,1287.151,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,ATSI,OE,5168.637,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,OVEC,OVEC,23.000,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,WEST,ATSI,PAPWR,418.539,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,PE,PE,2923.381,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,1854.652,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,PL,PLCO,3234.050,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,PN,PN,1548.985,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,PS,PS,3566.050,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,RECO,RECO,118.155,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,PEP,SMECO,230.103,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,PL,UGI,77.635,True
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RFC,MIDATL,AE,VMEU,59.840,False
10/6/2020 6:00:00 AM,10/6/2020 2:00:00 AM,RTO,RTO,RTO,RTO,63869.304,False
10/6/2020 7:00:00 AM,10/6/2020 3:00:00 AM,RFC,MIDATL,AE,AECO,706.391,False
10/6/2020 7:00:00 AM,10/6/2020 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3437.719,True
10/6/2020 7:00:00 AM,10/6/2020 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2564.569,True
