C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210825_20210825.csv
C,Time period: 2021-08-25 to 2021-08-25
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-10-09 02:55:01 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-08-25,01,2953.3,3172.62
D,2021-08-25,02,2787.9,2991.84
D,2021-08-25,03,2685.1,2871.52
D,2021-08-25,04,2614.5,2804.46
D,2021-08-25,05,2580.6,2804.2
D,2021-08-25,06,2696.0,2903.61
D,2021-08-25,07,2917.6,3103.89
D,2021-08-25,08,3168.4,3348.53
D,2021-08-25,09,3322.2,3595.23
D,2021-08-25,10,3497.9,3787.78
D,2021-08-25,11,3707.7,3971.7
D,2021-08-25,12,3898.0,4151.34
D,2021-08-25,13,4100.6,4303.0
D,2021-08-25,14,4237.8,4449.11
D,2021-08-25,15,4350.4,4565.08
D,2021-08-25,16,4414.1,4667.78
D,2021-08-25,17,4470.5,4703.37
D,2021-08-25,18,4428.6,4695.89
D,2021-08-25,19,4321.5,4518.27
D,2021-08-25,20,4092.5,4371.74
D,2021-08-25,21,3983.1,4206.1
D,2021-08-25,22,3792.0,3973.05
D,2021-08-25,23,3533.8,3675.59
D,2021-08-25,24,3261.1,3393.27
T,24 lines
