"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20201209.csv"
"C","Report for: 12/09/2020 - 12/09/2020"
"C","Report generated: 01/15/2021 08:03:27 EST"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","12/09/2020","01",12895.37
"D","12/09/2020","02",12785.6
"D","12/09/2020","03",12665.96
"D","12/09/2020","04",12691.9
"D","12/09/2020","05",12776.35
"D","12/09/2020","06",13496.66
"D","12/09/2020","07",14427.68
"D","12/09/2020","08",15473.06
"D","12/09/2020","09",15924.34
"D","12/09/2020","10",15889.82
"D","12/09/2020","11",15805.17
"D","12/09/2020","12",15700.97
"D","12/09/2020","13",15648.2
"D","12/09/2020","14",15634.76
"D","12/09/2020","15",15763.45
"D","12/09/2020","16",15984.76
"D","12/09/2020","17",16866.58
"D","12/09/2020","18",17476.55
"D","12/09/2020","19",17188.57
"D","12/09/2020","20",16586.63
"D","12/09/2020","21",15811.32
"D","12/09/2020","22",14777.12
"D","12/09/2020","23",13517.26
"D","12/09/2020","24",12746.75
"T","24 lines"
