C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210915_20210915.csv
C,Time period: 2021-09-15 to 2021-09-15
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-10-16 19:57:02 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-09-15,01,2228.3,2309.01
D,2021-09-15,02,2140.0,2214.54
D,2021-09-15,03,2118.4,2185.57
D,2021-09-15,04,2105.0,2185.26
D,2021-09-15,05,2157.9,2247.2
D,2021-09-15,06,2291.1,2420.48
D,2021-09-15,07,2611.0,2722.0
D,2021-09-15,08,2861.7,2948.4
D,2021-09-15,09,2977.3,3131.03
D,2021-09-15,10,3097.3,3282.07
D,2021-09-15,11,3244.5,3438.43
D,2021-09-15,12,3365.2,3584.3
D,2021-09-15,13,3466.3,3749.15
D,2021-09-15,14,3613.8,3909.68
D,2021-09-15,15,3706.1,4009.36
D,2021-09-15,16,3795.3,4052.6
D,2021-09-15,17,3824.4,4069.81
D,2021-09-15,18,3761.2,4037.71
D,2021-09-15,19,3681.7,3915.96
D,2021-09-15,20,3635.6,3857.31
D,2021-09-15,21,3514.3,3689.25
D,2021-09-15,22,3274.3,3473.6
D,2021-09-15,23,3004.0,3211.55
D,2021-09-15,24,2722.8,2920.73
T,24 lines
