C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210423_20210423.csv
C,Time period: 2021-04-23 to 2021-04-23
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-05-04 06:15:59 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-04-23,01,2101.9,2105.08
D,2021-04-23,02,2057.0,2040.3
D,2021-04-23,03,1980.8,2014.36
D,2021-04-23,04,1967.8,2018.53
D,2021-04-23,05,2037.9,2070.95
D,2021-04-23,06,2173.3,2207.44
D,2021-04-23,07,2409.8,2376.01
D,2021-04-23,08,2554.8,2479.04
D,2021-04-23,09,2550.1,2497.75
D,2021-04-23,10,2441.0,2464.2
D,2021-04-23,11,2401.2,2434.66
D,2021-04-23,12,2375.9,2422.26
D,2021-04-23,13,2390.6,2392.42
D,2021-04-23,14,2358.6,2344.58
D,2021-04-23,15,2313.8,2293.89
D,2021-04-23,16,2309.2,2288.03
D,2021-04-23,17,2368.7,2334.85
D,2021-04-23,18,2451.2,2391.37
D,2021-04-23,19,2489.9,2420.35
D,2021-04-23,20,2577.2,2452.94
D,2021-04-23,21,2555.2,2443.42
D,2021-04-23,22,2438.1,2345.54
D,2021-04-23,23,2270.7,2206.43
D,2021-04-23,24,2142.9,2069.43
T,24 lines
