C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210603_20210603.csv
C,Time period: 2021-06-03 to 2021-06-03
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-06-08 17:28:22 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-06-03,01,2106.4,2184.87
D,2021-06-03,02,2021.6,2073.21
D,2021-06-03,03,1944.4,1995.74
D,2021-06-03,04,1921.0,1958.92
D,2021-06-03,05,1934.3,1977.19
D,2021-06-03,06,2031.4,2071.85
D,2021-06-03,07,2261.6,2271.15
D,2021-06-03,08,2492.8,2473.22
D,2021-06-03,09,2617.1,2605.07
D,2021-06-03,10,2683.2,2717.81
D,2021-06-03,11,2721.2,2780.1
D,2021-06-03,12,2753.1,2802.67
D,2021-06-03,13,2798.2,2835.45
D,2021-06-03,14,2802.6,2923.9
D,2021-06-03,15,2842.9,3028.14
D,2021-06-03,16,2818.3,3057.64
D,2021-06-03,17,2852.4,3093.6
D,2021-06-03,18,2856.9,3087.24
D,2021-06-03,19,2802.6,3031.65
D,2021-06-03,20,2800.8,3003.16
D,2021-06-03,21,2765.5,2980.25
D,2021-06-03,22,2649.0,2862.13
D,2021-06-03,23,2486.5,2675.56
D,2021-06-03,24,2305.7,2502.48
T,24 lines
