C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200621_20200621.csv
C,Time period: 2020-06-21 to 2020-06-21
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-06-24 15:19:42 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-06-21,01,2542.2,2968.2
D,2020-06-21,02,2404.3,2797.7
D,2020-06-21,03,2323.7,2668.4
D,2020-06-21,04,2300.5,2570.6
D,2020-06-21,05,2245.1,2516.6
D,2020-06-21,06,2260.7,2476.8
D,2020-06-21,07,2299.9,2556.9
D,2020-06-21,08,2449.7,2717.0
D,2020-06-21,09,2584.1,2928.9
D,2020-06-21,10,2723.2,3159.5
D,2020-06-21,11,2917.0,3372.7
D,2020-06-21,12,3126.5,3572.6
D,2020-06-21,13,3155.6,3696.5
D,2020-06-21,14,3237.2,3769.0
D,2020-06-21,15,3280.0,3826.5
D,2020-06-21,16,3266.2,3884.9
D,2020-06-21,17,3336.4,3861.4
D,2020-06-21,18,3306.2,3722.7
D,2020-06-21,19,3435.3,3636.8
D,2020-06-21,20,3315.7,3586.3
D,2020-06-21,21,3277.3,3531.8
D,2020-06-21,22,3162.1,3445.9
D,2020-06-21,23,2928.9,3228.8
D,2020-06-21,24,2675.3,2987.5
T,24 lines
