C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200816_20200816.csv
C,Time period: 2020-08-16 to 2020-08-16
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-08-20 01:59:22 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-08-16,01,2317.1,2259.6
D,2020-08-16,02,2269.5,2169.0
D,2020-08-16,03,2146.3,2113.1
D,2020-08-16,04,2171.1,2087.4
D,2020-08-16,05,2150.3,2083.7
D,2020-08-16,06,2110.3,2089.6
D,2020-08-16,07,2133.9,2127.0
D,2020-08-16,08,2207.6,2215.4
D,2020-08-16,09,2399.2,2329.2
D,2020-08-16,10,2501.3,2439.6
D,2020-08-16,11,2521.9,2531.2
D,2020-08-16,12,2728.2,2611.1
D,2020-08-16,13,2774.7,2651.6
D,2020-08-16,14,2795.3,2666.5
D,2020-08-16,15,2821.3,2653.9
D,2020-08-16,16,2822.0,2638.5
D,2020-08-16,17,2827.3,2660.7
D,2020-08-16,18,2886.9,2706.4
D,2020-08-16,19,2934.2,2717.3
D,2020-08-16,20,2855.5,2723.8
D,2020-08-16,21,2861.2,2693.6
D,2020-08-16,22,2738.4,2612.2
D,2020-08-16,23,2594.2,2480.1
D,2020-08-16,24,2383.5,2336.6
T,24 lines
