C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210310_20210310.csv
C,Time period: 2021-03-10 to 2021-03-10
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-03-30 09:23:22 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-03-10,01,2083.2,2134.44
D,2021-03-10,02,2034.1,2086.23
D,2021-03-10,03,2020.1,2069.16
D,2021-03-10,04,2051.5,2087.27
D,2021-03-10,05,2130.1,2160.67
D,2021-03-10,06,2314.0,2330.42
D,2021-03-10,07,2539.1,2550.49
D,2021-03-10,08,2687.1,2655.94
D,2021-03-10,09,2621.2,2649.91
D,2021-03-10,10,2507.9,2599.0
D,2021-03-10,11,2431.7,2547.1
D,2021-03-10,12,2419.8,2525.48
D,2021-03-10,13,2382.0,2513.4
D,2021-03-10,14,2409.7,2490.99
D,2021-03-10,15,2371.0,2499.49
D,2021-03-10,16,2433.6,2542.8
D,2021-03-10,17,2508.9,2631.09
D,2021-03-10,18,2657.2,2769.06
D,2021-03-10,19,2714.3,2872.44
D,2021-03-10,20,2636.9,2810.69
D,2021-03-10,21,2530.5,2698.51
D,2021-03-10,22,2391.4,2550.85
D,2021-03-10,23,2205.0,2385.07
D,2021-03-10,24,2039.5,2231.5
T,24 lines
