C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200920_20200920.csv
C,Time period: 2020-09-20 to 2020-09-20
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-09-25 05:47:16 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-09-20,01,1958.5,1842.2
D,2020-09-20,02,1893.2,1773.2
D,2020-09-20,03,1838.4,1730.0
D,2020-09-20,04,1808.7,1711.6
D,2020-09-20,05,1810.3,1716.9
D,2020-09-20,06,1853.1,1749.4
D,2020-09-20,07,1896.5,1809.8
D,2020-09-20,08,1947.9,1872.0
D,2020-09-20,09,2040.6,1931.4
D,2020-09-20,10,2080.7,1982.3
D,2020-09-20,11,2104.7,2018.3
D,2020-09-20,12,2096.8,2053.3
D,2020-09-20,13,2120.9,2085.6
D,2020-09-20,14,2110.2,2096.4
D,2020-09-20,15,2129.8,2102.3
D,2020-09-20,16,2144.3,2130.6
D,2020-09-20,17,2234.8,2204.7
D,2020-09-20,18,2323.4,2319.1
D,2020-09-20,19,2411.1,2402.6
D,2020-09-20,20,2452.3,2451.7
D,2020-09-20,21,2386.8,2380.1
D,2020-09-20,22,2283.1,2255.6
D,2020-09-20,23,2143.6,2104.5
D,2020-09-20,24,2001.6,1956.2
T,24 lines
