C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200722_20200722.csv
C,Time period: 2020-07-22 to 2020-07-22
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-07-25 01:01:08 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-07-22,01,2788.2,2933.2
D,2020-07-22,02,2699.1,2771.9
D,2020-07-22,03,2601.6,2656.2
D,2020-07-22,04,2477.0,2594.7
D,2020-07-22,05,2489.5,2609.6
D,2020-07-22,06,2597.1,2737.3
D,2020-07-22,07,2814.9,2940.4
D,2020-07-22,08,3075.9,3095.3
D,2020-07-22,09,3167.7,3210.2
D,2020-07-22,10,3244.8,3289.2
D,2020-07-22,11,3340.2,3347.2
D,2020-07-22,12,3452.8,3426.3
D,2020-07-22,13,3538.4,3470.6
D,2020-07-22,14,3608.4,3498.4
D,2020-07-22,15,3622.1,3607.1
D,2020-07-22,16,3672.8,3749.9
D,2020-07-22,17,3706.5,3822.5
D,2020-07-22,18,3731.6,3851.9
D,2020-07-22,19,3681.2,3703.8
D,2020-07-22,20,3500.5,3549.5
D,2020-07-22,21,3420.5,3459.5
D,2020-07-22,22,3282.5,3301.2
D,2020-07-22,23,3066.5,3095.2
D,2020-07-22,24,2818.6,2888.8
T,24 lines
