"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20201116.csv"
"C","Report for: 11/16/2020 - 11/16/2020"
"C","Report generated: 11/26/2020 13:32:48 EST"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","11/16/2020","01",10564.38
"D","11/16/2020","02",10245.22
"D","11/16/2020","03",10123.1
"D","11/16/2020","04",10140.02
"D","11/16/2020","05",10677.74
"D","11/16/2020","06",11007.2
"D","11/16/2020","07",11959.51
"D","11/16/2020","08",12744.41
"D","11/16/2020","09",12602.15
"D","11/16/2020","10",12160.64
"D","11/16/2020","11",12081.2
"D","11/16/2020","12",12396.24
"D","11/16/2020","13",12759.01
"D","11/16/2020","14",13129.8
"D","11/16/2020","15",13360.21
"D","11/16/2020","16",13685.92
"D","11/16/2020","17",14581.29
"D","11/16/2020","18",15487.54
"D","11/16/2020","19",15204.62
"D","11/16/2020","20",14545.63
"D","11/16/2020","21",13798.19
"D","11/16/2020","22",12905.97
"D","11/16/2020","23",11902.78
"D","11/16/2020","24",11468.12
"T","24 lines"
