C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20201004_20201004.csv
C,Time period: 2020-10-04 to 2020-10-04
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-10-10 00:48:45 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-10-04,01,1916.3,1979.7
D,2020-10-04,02,1844.3,1904.6
D,2020-10-04,03,1775.3,1857.7
D,2020-10-04,04,1759.5,1839.4
D,2020-10-04,05,1773.6,1837.4
D,2020-10-04,06,1825.8,1862.7
D,2020-10-04,07,1913.3,1933.0
D,2020-10-04,08,1988.5,1999.6
D,2020-10-04,09,2094.4,2052.6
D,2020-10-04,10,2106.6,2127.3
D,2020-10-04,11,2148.1,2190.6
D,2020-10-04,12,2112.3,2228.7
D,2020-10-04,13,2150.1,2278.0
D,2020-10-04,14,2152.2,2310.2
D,2020-10-04,15,2173.6,2339.6
D,2020-10-04,16,2258.9,2368.3
D,2020-10-04,17,2325.1,2433.4
D,2020-10-04,18,2417.8,2517.7
D,2020-10-04,19,2585.2,2606.1
D,2020-10-04,20,2483.7,2626.0
D,2020-10-04,21,2379.2,2550.8
D,2020-10-04,22,2273.7,2428.8
D,2020-10-04,23,2118.3,2277.7
D,2020-10-04,24,1977.1,2139.2
T,24 lines
