C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210901_20210901.csv
C,Time period: 2021-09-01 to 2021-09-01
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-10-15 21:25:25 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-09-01,01,2549.0,2588.37
D,2021-09-01,02,2416.9,2466.75
D,2021-09-01,03,2325.6,2371.75
D,2021-09-01,04,2282.6,2329.73
D,2021-09-01,05,2273.0,2346.19
D,2021-09-01,06,2385.8,2459.37
D,2021-09-01,07,2592.5,2666.45
D,2021-09-01,08,2831.7,2859.33
D,2021-09-01,09,2965.4,3006.7
D,2021-09-01,10,3002.9,3104.98
D,2021-09-01,11,3073.5,3144.33
D,2021-09-01,12,3148.0,3164.2
D,2021-09-01,13,3216.9,3149.19
D,2021-09-01,14,3278.4,3155.02
D,2021-09-01,15,3329.0,3126.88
D,2021-09-01,16,3307.4,3100.53
D,2021-09-01,17,3327.1,3106.42
D,2021-09-01,18,3274.0,3117.38
D,2021-09-01,19,3222.0,3075.8
D,2021-09-01,20,3154.4,3021.58
D,2021-09-01,21,3048.7,2920.22
D,2021-09-01,22,2920.4,2745.74
D,2021-09-01,23,2731.6,2526.4
D,2021-09-01,24,2459.9,2335.4
T,24 lines
