C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20170516_20170629.csv
C,Time period: 2017-05-16 to 2017-06-29
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-05-02 13:08:03 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2017-05-16,01,1958.4,2019.8
D,2017-05-16,02,1837.6,1933.5
D,2017-05-16,03,1783.0,1892.0
D,2017-05-16,04,1778.8,1883.4
D,2017-05-16,05,1811.7,1927.8
D,2017-05-16,06,2045.0,2079.1
D,2017-05-16,07,2334.7,2381.6
D,2017-05-16,08,2542.4,2595.7
D,2017-05-16,09,2615.3,2668.7
D,2017-05-16,10,2591.4,2717.7
D,2017-05-16,11,2672.2,2748.9
D,2017-05-16,12,2630.4,2776.0
D,2017-05-16,13,2683.7,2795.7
D,2017-05-16,14,2675.0,2823.8
D,2017-05-16,15,2753.1,2850.5
D,2017-05-16,16,2777.0,2897.8
D,2017-05-16,17,2781.9,2953.0
D,2017-05-16,18,2852.3,2958.7
D,2017-05-16,19,2793.1,2890.3
D,2017-05-16,20,2786.1,2883.5
D,2017-05-16,21,2816.2,2896.5
D,2017-05-16,22,2547.6,2758.9
D,2017-05-16,23,2323.5,2505.0
D,2017-05-16,24,2090.1,2268.4
D,2017-05-17,01,1996.4,2093.7
D,2017-05-17,02,1972.9,1994.3
D,2017-05-17,03,1910.0,1939.6
D,2017-05-17,04,1908.6,1921.0
D,2017-05-17,05,1939.3,1960.3
D,2017-05-17,06,2156.1,2111.3
D,2017-05-17,07,2412.6,2407.0
D,2017-05-17,08,2669.1,2655.7
D,2017-05-17,09,2746.2,2801.3
D,2017-05-17,10,2758.1,2912.8
D,2017-05-17,11,2874.0,3007.2
D,2017-05-17,12,2870.1,3104.5
D,2017-05-17,13,2951.8,3209.9
D,2017-05-17,14,3027.9,3339.4
D,2017-05-17,15,3049.6,3449.5
D,2017-05-17,16,3083.0,3543.3
D,2017-05-17,17,3131.8,3635.4
D,2017-05-17,18,3132.8,3696.9
D,2017-05-17,19,3146.2,3636.7
D,2017-05-17,20,3114.4,3597.5
D,2017-05-17,21,3121.0,3613.3
D,2017-05-17,22,2924.8,3470.6
D,2017-05-17,23,2645.2,3181.1
D,2017-05-17,24,2410.7,2884.3
D,2017-05-18,01,2414.0,2664.5
D,2017-05-18,02,2301.6,2509.8
D,2017-05-18,03,2247.2,2414.9
