C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210412_20210412.csv
C,Time period: 2021-04-12 to 2021-04-12
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-04-24 08:59:36 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-04-12,01,1867.3,1922.36
D,2021-04-12,02,1791.0,1860.02
D,2021-04-12,03,1774.9,1827.75
D,2021-04-12,04,1780.4,1829.75
D,2021-04-12,05,1839.7,1884.97
D,2021-04-12,06,1970.8,2033.21
D,2021-04-12,07,2177.4,2247.92
D,2021-04-12,08,2357.3,2456.57
D,2021-04-12,09,2451.0,2559.14
D,2021-04-12,10,2455.6,2619.57
D,2021-04-12,11,2454.7,2633.54
D,2021-04-12,12,2451.6,2639.44
D,2021-04-12,13,2478.2,2614.25
D,2021-04-12,14,2445.7,2603.62
D,2021-04-12,15,2439.4,2615.8
D,2021-04-12,16,2456.5,2628.61
D,2021-04-12,17,2482.5,2625.56
D,2021-04-12,18,2576.0,2607.17
D,2021-04-12,19,2575.1,2592.13
D,2021-04-12,20,2572.7,2640.81
D,2021-04-12,21,2503.1,2600.4
D,2021-04-12,22,2315.5,2463.41
D,2021-04-12,23,2146.7,2286.81
D,2021-04-12,24,1995.7,2123.93
T,24 lines
