C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200827_20200827.csv
C,Time period: 2020-08-27 to 2020-08-27
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-09-01 14:22:59 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-08-27,01,2244.8,2135.3
D,2020-08-27,02,2141.4,2036.8
D,2020-08-27,03,2076.1,1968.2
D,2020-08-27,04,2046.4,1945.0
D,2020-08-27,05,2078.5,1968.3
D,2020-08-27,06,2205.3,2091.3
D,2020-08-27,07,2386.3,2240.6
D,2020-08-27,08,2575.1,2413.3
D,2020-08-27,09,2701.4,2559.0
D,2020-08-27,10,2744.9,2640.5
D,2020-08-27,11,2794.8,2705.5
D,2020-08-27,12,2844.2,2739.4
D,2020-08-27,13,2868.6,2782.1
D,2020-08-27,14,2919.6,2812.9
D,2020-08-27,15,3054.0,2777.5
D,2020-08-27,16,3045.8,2752.9
D,2020-08-27,17,3051.0,2747.5
D,2020-08-27,18,3093.2,2744.5
D,2020-08-27,19,3006.2,2704.6
D,2020-08-27,20,2926.3,2686.1
D,2020-08-27,21,2963.6,2612.9
D,2020-08-27,22,2788.4,2490.3
D,2020-08-27,23,2603.6,2331.7
D,2020-08-27,24,2425.1,2194.0
T,24 lines
