C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210629_20210629.csv
C,Time period: 2021-06-29 to 2021-06-29
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-07-02 04:40:04 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-06-29,01,3457.3,3655.33
D,2021-06-29,02,3297.7,3457.36
D,2021-06-29,03,3130.8,3322.35
D,2021-06-29,04,3047.8,3234.15
D,2021-06-29,05,3014.0,3212.98
D,2021-06-29,06,3106.9,3305.19
D,2021-06-29,07,3335.6,3745.53
D,2021-06-29,08,3702.1,4389.38
D,2021-06-29,09,3982.7,4772.55
D,2021-06-29,10,4178.6,5443.67
D,2021-06-29,11,4397.6,5842.42
D,2021-06-29,12,4576.6,6081.68
D,2021-06-29,13,4734.8,6221.44
D,2021-06-29,14,4829.4,6310.61
D,2021-06-29,15,4947.2,6373.83
D,2021-06-29,16,5007.2,6403.93
D,2021-06-29,17,5073.4,6443.05
D,2021-06-29,18,5060.0,6367.86
D,2021-06-29,19,4909.8,6365.23
D,2021-06-29,20,4745.1,6223.32
D,2021-06-29,21,4622.8,6140.19
D,2021-06-29,22,4440.6,5926.56
D,2021-06-29,23,4094.0,5443.15
D,2021-06-29,24,3762.9,4998.93
T,24 lines
