C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20201119_20201119.csv
C,Time period: 2020-11-19 to 2020-11-19
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-11-26 14:24:10 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-11-19,01,2292.5,2343.6
D,2020-11-19,02,2239.0,2283.6
D,2020-11-19,03,2207.9,2257.9
D,2020-11-19,04,2230.8,2272.9
D,2020-11-19,05,2265.5,2332.4
D,2020-11-19,06,2453.2,2490.1
D,2020-11-19,07,2732.0,2749.1
D,2020-11-19,08,2957.9,2913.2
D,2020-11-19,09,2960.9,2960.3
D,2020-11-19,10,2882.3,2966.0
D,2020-11-19,11,2832.3,2929.7
D,2020-11-19,12,2750.7,2884.3
D,2020-11-19,13,2736.4,2868.1
D,2020-11-19,14,2731.9,2840.2
D,2020-11-19,15,2720.7,2839.7
D,2020-11-19,16,2761.3,2909.9
D,2020-11-19,17,2955.9,3056.1
D,2020-11-19,18,3043.8,3147.1
D,2020-11-19,19,2985.1,3060.0
D,2020-11-19,20,2885.2,2953.7
D,2020-11-19,21,2801.4,2805.2
D,2020-11-19,22,2594.9,2625.8
D,2020-11-19,23,2410.1,2428.1
D,2020-11-19,24,2223.9,2252.2
T,24 lines
