"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20210211.csv"
"C","Report for: 02/11/2021 - 02/11/2021"
"C","Report generated: 02/17/2021 17:17:02 EST"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","02/11/2021","01",13425.01
"D","02/11/2021","02",13295.9
"D","02/11/2021","03",13188.68
"D","02/11/2021","04",13226.61
"D","02/11/2021","05",13574.77
"D","02/11/2021","06",14121.39
"D","02/11/2021","07",15049.87
"D","02/11/2021","08",16159.19
"D","02/11/2021","09",16563.33
"D","02/11/2021","10",16410.38
"D","02/11/2021","11",16086.02
"D","02/11/2021","12",15858.26
"D","02/11/2021","13",15627.57
"D","02/11/2021","14",15353.19
"D","02/11/2021","15",15221.01
"D","02/11/2021","16",15464.34
"D","02/11/2021","17",16176.38
"D","02/11/2021","18",17365.47
"D","02/11/2021","19",17647.92
"D","02/11/2021","20",17197.01
"D","02/11/2021","21",16553.1
"D","02/11/2021","22",15697.88
"D","02/11/2021","23",14697.75
"D","02/11/2021","24",13798.88
"T","24 lines"
