"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20170302_20170316.csv"
"C","Report for: 03/02/2017 - 03/16/2017"
"C","Report generated: 04/13/2020 22:50:52 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","03/02/2017","01",10951.05
"D","03/02/2017","02",10894.5
"D","03/02/2017","03",10746.02
"D","03/02/2017","04",10963.56
"D","03/02/2017","05",11192.66
"D","03/02/2017","06",11408.39
"D","03/02/2017","07",12599.97
"D","03/02/2017","08",13400.06
"D","03/02/2017","09",13532.2
"D","03/02/2017","10",13529.21
"D","03/02/2017","11",13314.07
"D","03/02/2017","12",13070.87
"D","03/02/2017","13",12950.39
"D","03/02/2017","14",13021.57
"D","03/02/2017","15",13109.76
"D","03/02/2017","16",13375.84
"D","03/02/2017","17",14169.39
"D","03/02/2017","18",15309.37
"D","03/02/2017","19",16227.84
"D","03/02/2017","20",16045.84
"D","03/02/2017","21",15602.07
"D","03/02/2017","22",14725.46
"D","03/02/2017","23",13532.04
"D","03/02/2017","24",12901.41
"D","03/03/2017","01",12266.48
"D","03/03/2017","02",11996.18
"D","03/03/2017","03",12097.55
"D","03/03/2017","04",12143.64
"D","03/03/2017","05",12345.44
"D","03/03/2017","06",13441.1
"D","03/03/2017","07",14596.44
"D","03/03/2017","08",15191.56
"D","03/03/2017","09",14910.27
"D","03/03/2017","10",14517.15
"D","03/03/2017","11",14209.19
"D","03/03/2017","12",13986.39
"D","03/03/2017","13",13763.89
"D","03/03/2017","14",13860.01
"D","03/03/2017","15",14126.05
"D","03/03/2017","16",14543.63
"D","03/03/2017","17",14840.26
"D","03/03/2017","18",15711.57
"D","03/03/2017","19",16369.06
"D","03/03/2017","20",16114.05
"D","03/03/2017","21",15708.45
"D","03/03/2017","22",15101.84
"D","03/03/2017","23",14232.6
"D","03/03/2017","24",13338.47
"D","03/04/2017","01",12780.51
"D","03/04/2017","02",12701.04
"D","03/04/2017","03",12586.4
"D","03/04/2017","04",12610.36
"D","03/04/2017","05",12798.37
"D","03/04/2017","06",13047.58
"D","03/04/2017","07",13703.35
"D","03/04/2017","08",14260.76
"D","03/04/2017","09",14651.47
"D","03/04/2017","10",14854.64
"D","03/04/2017","11",15122.73
"D","03/04/2017","12",15194.75
"D","03/04/2017","13",14938.73
"D","03/04/2017","14",14486.44
"D","03/04/2017","15",14274.28
"D","03/04/2017","16",14553.66
"D","03/04/2017","17",15325.01
"D","03/04/2017","18",16453.07
"D","03/04/2017","19",17275.91
"D","03/04/2017","20",17068.11
"D","03/04/2017","21",16718.08
"D","03/04/2017","22",16151.62
"D","03/04/2017","23",15300.78
"D","03/04/2017","24",14503.61
"D","03/05/2017","01",13922.48
"D","03/05/2017","02",13566.14
"D","03/05/2017","03",13400.85
"D","03/05/2017","04",13352.23
"D","03/05/2017","05",13437.65
"D","03/05/2017","06",13799.38
"D","03/05/2017","07",14399.09
"D","03/05/2017","08",14390.37
"D","03/05/2017","09",14524.85
"D","03/05/2017","10",14499.44
"D","03/05/2017","11",14408.78
"D","03/05/2017","12",14264.66
"D","03/05/2017","13",14036.98
"D","03/05/2017","14",13764.31
"D","03/05/2017","15",13888.8
"D","03/05/2017","16",14253.99
"D","03/05/2017","17",15089.37
"D","03/05/2017","18",16080.36
"D","03/05/2017","19",17028.1
"D","03/05/2017","20",16797.87
"D","03/05/2017","21",16292.96
"D","03/05/2017","22",15383.46
"D","03/05/2017","23",14274.75
"D","03/05/2017","24",13567.24
"D","03/06/2017","01",13065.27
"D","03/06/2017","02",13088.32
"D","03/06/2017","03",13066.52
"D","03/06/2017","04",13166.57
"D","03/06/2017","05",13526.52
"D","03/06/2017","06",14247.44
"D","03/06/2017","07",15869.72
