C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20190918_20191101.csv
C,Time period: 2019-09-18 to 2019-11-01
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-05-02 13:16:17 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-09-18,01,2007.7,2001.7
D,2019-09-18,02,1996.6,1910.1
D,2019-09-18,03,1939.7,1865.8
D,2019-09-18,04,1910.7,1849.8
D,2019-09-18,05,1954.6,1878.6
D,2019-09-18,06,2092.3,2031.0
D,2019-09-18,07,2386.3,2304.6
D,2019-09-18,08,2595.8,2468.8
D,2019-09-18,09,2689.7,2529.5
D,2019-09-18,10,2677.2,2564.7
D,2019-09-18,11,2703.5,2578.7
D,2019-09-18,12,2734.5,2592.9
D,2019-09-18,13,2705.7,2583.3
D,2019-09-18,14,2730.7,2618.4
D,2019-09-18,15,2764.4,2608.6
D,2019-09-18,16,2764.4,2600.8
D,2019-09-18,17,2784.1,2642.9
D,2019-09-18,18,2816.0,2687.4
D,2019-09-18,19,2788.5,2672.4
D,2019-09-18,20,2776.1,2697.7
D,2019-09-18,21,2655.1,2609.2
D,2019-09-18,22,2521.8,2440.8
D,2019-09-18,23,2323.5,2229.3
D,2019-09-18,24,2120.0,2038.4
D,2019-09-19,01,1977.6,1906.6
D,2019-09-19,02,1915.4,1830.4
D,2019-09-19,03,1905.0,1793.8
D,2019-09-19,04,1895.2,1783.3
D,2019-09-19,05,1972.0,1824.2
D,2019-09-19,06,2130.7,1993.7
D,2019-09-19,07,2396.0,2290.1
D,2019-09-19,08,2594.8,2465.7
D,2019-09-19,09,2603.3,2505.0
D,2019-09-19,10,2572.1,2527.0
D,2019-09-19,11,2558.1,2553.2
D,2019-09-19,12,2602.6,2562.2
D,2019-09-19,13,2638.6,2569.2
D,2019-09-19,14,2676.3,2588.1
D,2019-09-19,15,2717.7,2603.3
D,2019-09-19,16,2732.8,2640.2
D,2019-09-19,17,2768.0,2691.4
D,2019-09-19,18,2794.6,2729.3
D,2019-09-19,19,2743.6,2707.2
D,2019-09-19,20,2722.9,2716.5
D,2019-09-19,21,2631.1,2623.7
D,2019-09-19,22,2520.6,2457.5
D,2019-09-19,23,2294.0,2242.4
D,2019-09-19,24,2089.9,2048.3
D,2019-09-20,01,1959.9,1920.1
D,2019-09-20,02,1908.1,1840.1
D,2019-09-20,03,1906.1,1803.6
D,2019-09-20,04,1902.7,1791.0
D,2019-09-20,05,1926.9,1830.4
D,2019-09-20,06,2064.7,1989.0
D,2019-09-20,07,2340.3,2275.0
D,2019-09-20,08,2491.8,2455.5
D,2019-09-20,09,2590.9,2516.8
D,2019-09-20,10,2584.6,2584.3
D,2019-09-20,11,2546.2,2639.3
D,2019-09-20,12,2609.3,2673.2
D,2019-09-20,13,2765.5,2702.7
D,2019-09-20,14,2862.3,2755.0
D,2019-09-20,15,2968.8,2804.6
D,2019-09-20,16,2990.1,2851.2
D,2019-09-20,17,3024.5,2904.4
