"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20180610_20180624.csv"
"C","Report for: 06/10/2018 - 06/24/2018"
"C","Report generated: 04/13/2020 22:58:02 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","06/10/2018","01",10836.05
"D","06/10/2018","02",10222.3
"D","06/10/2018","03",10092.91
"D","06/10/2018","04",10155.75
"D","06/10/2018","05",10053.57
"D","06/10/2018","06",9968.04
"D","06/10/2018","07",10205.02
"D","06/10/2018","08",10804.68
"D","06/10/2018","09",11159.96
"D","06/10/2018","10",11308.89
"D","06/10/2018","11",11436.89
"D","06/10/2018","12",11666.5
"D","06/10/2018","13",11813.95
"D","06/10/2018","14",11750.91
"D","06/10/2018","15",11791.12
"D","06/10/2018","16",12052.89
"D","06/10/2018","17",12493.22
"D","06/10/2018","18",13030.56
"D","06/10/2018","19",13294.02
"D","06/10/2018","20",13374.94
"D","06/10/2018","21",13480.97
"D","06/10/2018","22",13049.74
"D","06/10/2018","23",11868.29
"D","06/10/2018","24",10727.55
"D","06/11/2018","01",10229.63
"D","06/11/2018","02",9941.93
"D","06/11/2018","03",9975.7
"D","06/11/2018","04",9988.47
"D","06/11/2018","05",10260.21
"D","06/11/2018","06",10597.94
"D","06/11/2018","07",11601.18
"D","06/11/2018","08",12625.49
"D","06/11/2018","09",12876.76
"D","06/11/2018","10",12880.55
"D","06/11/2018","11",12989.34
"D","06/11/2018","12",12978.22
"D","06/11/2018","13",12925.37
"D","06/11/2018","14",13140.21
"D","06/11/2018","15",13337.88
"D","06/11/2018","16",13518.95
"D","06/11/2018","17",13826.87
"D","06/11/2018","18",14233.05
"D","06/11/2018","19",14432.85
"D","06/11/2018","20",14297.27
"D","06/11/2018","21",14106.4
"D","06/11/2018","22",13527.09
"D","06/11/2018","23",12184.4
"D","06/11/2018","24",10880.68
"D","06/12/2018","01",10199.74
"D","06/12/2018","02",9799.92
"D","06/12/2018","03",10007.7
"D","06/12/2018","04",10021.92
"D","06/12/2018","05",10236.92
"D","06/12/2018","06",10471.64
"D","06/12/2018","07",11502.01
"D","06/12/2018","08",12462.07
"D","06/12/2018","09",12457.73
"D","06/12/2018","10",12687.69
"D","06/12/2018","11",12829.89
"D","06/12/2018","12",13002.95
"D","06/12/2018","13",13121.32
"D","06/12/2018","14",13424.15
"D","06/12/2018","15",13635.75
"D","06/12/2018","16",13990.76
"D","06/12/2018","17",14485.85
"D","06/12/2018","18",14990.07
"D","06/12/2018","19",15098.28
"D","06/12/2018","20",14813.76
"D","06/12/2018","21",14671.17
"D","06/12/2018","22",14059.58
"D","06/12/2018","23",12680.66
"D","06/12/2018","24",11326.44
"D","06/13/2018","01",11000.61
"D","06/13/2018","02",10636.24
"D","06/13/2018","03",10483.95
"D","06/13/2018","04",10367.51
"D","06/13/2018","05",10587.46
"D","06/13/2018","06",10920.99
"D","06/13/2018","07",11895.53
"D","06/13/2018","08",12997.14
"D","06/13/2018","09",13514.55
"D","06/13/2018","10",13988.14
"D","06/13/2018","11",14533.15
"D","06/13/2018","12",14882.96
"D","06/13/2018","13",14978.04
"D","06/13/2018","14",15324.16
"D","06/13/2018","15",15391.18
"D","06/13/2018","16",15404.77
"D","06/13/2018","17",15407.49
"D","06/13/2018","18",15511.72
"D","06/13/2018","19",15426.01
"D","06/13/2018","20",15394.11
"D","06/13/2018","21",15367.12
"D","06/13/2018","22",14815.72
"D","06/13/2018","23",13536.06
"D","06/13/2018","24",12269.2
"D","06/14/2018","01",11668.76
"D","06/14/2018","02",11516.01
"D","06/14/2018","03",11755.95
"D","06/14/2018","04",11617.13
"D","06/14/2018","05",11720.79
"D","06/14/2018","06",11905.9
"D","06/14/2018","07",12714.14
"D","06/14/2018","08",13760.05
"D","06/14/2018","09",14063.19
"D","06/14/2018","10",14240.11
"D","06/14/2018","11",14530.92
"D","06/14/2018","12",14825.04
"D","06/14/2018","13",15185.0
"D","06/14/2018","14",15518.53
"D","06/14/2018","15",15618.52
"D","06/14/2018","16",15692.63
"D","06/14/2018","17",15767.5
"D","06/14/2018","18",15702.6
"D","06/14/2018","19",15415.76
"D","06/14/2018","20",15155.68
"D","06/14/2018","21",15004.94
"D","06/14/2018","22",14465.28
"D","06/14/2018","23",13171.97
"D","06/14/2018","24",12085.33
"D","06/15/2018","01",11065.02
"D","06/15/2018","02",10848.42
"D","06/15/2018","03",10704.21
"D","06/15/2018","04",10647.95
"D","06/15/2018","05",10731.37
"D","06/15/2018","06",11171.68
"D","06/15/2018","07",12097.61
"D","06/15/2018","08",13178.08
"D","06/15/2018","09",13619.55
"D","06/15/2018","10",13761.85
"D","06/15/2018","11",13895.62
"D","06/15/2018","12",13911.73
"D","06/15/2018","13",13788.32
"D","06/15/2018","14",13621.92
"D","06/15/2018","15",13484.16
"D","06/15/2018","16",13541.04
"D","06/15/2018","17",13637.01
"D","06/15/2018","18",13817.4
"D","06/15/2018","19",13931.36
"D","06/15/2018","20",13870.2
"D","06/15/2018","21",13707.24
"D","06/15/2018","22",13397.54
"D","06/15/2018","23",12400.26
"D","06/15/2018","24",11265.36
"D","06/16/2018","01",10600.42
"D","06/16/2018","02",10402.77
"D","06/16/2018","03",10596.98
"D","06/16/2018","04",10436.88
"D","06/16/2018","05",10429.96
"D","06/16/2018","06",10221.79
"D","06/16/2018","07",10728.42
"D","06/16/2018","08",11071.36
"D","06/16/2018","09",11433.11
"D","06/16/2018","10",11825.91
"D","06/16/2018","11",12145.02
"D","06/16/2018","12",12338.36
"D","06/16/2018","13",12531.1
"D","06/16/2018","14",12847.6
"D","06/16/2018","15",13251.73
"D","06/16/2018","16",13814.87
"D","06/16/2018","17",14419.38
"D","06/16/2018","18",14817.62
"D","06/16/2018","19",15002.89
"D","06/16/2018","20",14908.31
"D","06/16/2018","21",14655.96
"D","06/16/2018","22",14297.2
"D","06/16/2018","23",13233.54
"D","06/16/2018","24",12248.0
"D","06/17/2018","01",11166.01
"D","06/17/2018","02",10627.29
"D","06/17/2018","03",10496.38
"D","06/17/2018","04",10277.67
"D","06/17/2018","05",10185.46
"D","06/17/2018","06",10331.13
"D","06/17/2018","07",10590.77
"D","06/17/2018","08",10796.37
"D","06/17/2018","09",11252.71
"D","06/17/2018","10",11925.25
"D","06/17/2018","11",12675.57
"D","06/17/2018","12",13273.06
"D","06/17/2018","13",13740.01
"D","06/17/2018","14",14138.52
"D","06/17/2018","15",14587.53
"D","06/17/2018","16",15197.6
"D","06/17/2018","17",15923.48
"D","06/17/2018","18",16430.94
"D","06/17/2018","19",16577.46
"D","06/17/2018","20",16334.04
"D","06/17/2018","21",16150.65
"D","06/17/2018","22",15699.04
"D","06/17/2018","23",14330.52
"D","06/17/2018","24",12995.89
"D","06/18/2018","01",12040.12
"D","06/18/2018","02",11561.36
"D","06/18/2018","03",11299.2
"D","06/18/2018","04",11376.4
"D","06/18/2018","05",11517.35
"D","06/18/2018","06",11728.91
"D","06/18/2018","07",13107.0
"D","06/18/2018","08",14462.07
"D","06/18/2018","09",15256.64
"D","06/18/2018","10",16073.48
"D","06/18/2018","11",16996.65
"D","06/18/2018","12",17932.7
"D","06/18/2018","13",18658.14
"D","06/18/2018","14",19448.74
"D","06/18/2018","15",19992.7
"D","06/18/2018","16",20336.56
"D","06/18/2018","17",20684.62
"D","06/18/2018","18",20821.53
"D","06/18/2018","19",20233.0
"D","06/18/2018","20",19513.47
"D","06/18/2018","21",18848.28
"D","06/18/2018","22",17807.16
"D","06/18/2018","23",16155.62
"D","06/18/2018","24",14634.15
"D","06/19/2018","01",13755.15
"D","06/19/2018","02",13729.6
"D","06/19/2018","03",13755.72
"D","06/19/2018","04",13648.6
"D","06/19/2018","05",13810.29
"D","06/19/2018","06",14229.12
"D","06/19/2018","07",15018.35
"D","06/19/2018","08",15926.36
"D","06/19/2018","09",16296.49
"D","06/19/2018","10",16447.66
"D","06/19/2018","11",16595.08
"D","06/19/2018","12",16811.86
"D","06/19/2018","13",16978.93
"D","06/19/2018","14",17287.75
"D","06/19/2018","15",17585.6
