C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200803_20200803.csv
C,Time period: 2020-08-03 to 2020-08-03
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-08-09 01:26:57 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-08-03,01,3023.3,3123.7
D,2020-08-03,02,2918.9,3022.3
D,2020-08-03,03,2841.3,2975.4
D,2020-08-03,04,2795.4,2966.3
D,2020-08-03,05,2720.9,3011.5
D,2020-08-03,06,2864.8,3138.0
D,2020-08-03,07,3066.5,3375.8
D,2020-08-03,08,3371.2,3626.2
D,2020-08-03,09,3542.6,3816.6
D,2020-08-03,10,3605.5,3921.6
D,2020-08-03,11,3805.0,4076.5
D,2020-08-03,12,4004.8,4183.0
D,2020-08-03,13,4105.4,4299.1
D,2020-08-03,14,4213.5,4399.0
D,2020-08-03,15,4366.7,4466.5
D,2020-08-03,16,4376.8,4530.8
D,2020-08-03,17,4370.7,4549.7
D,2020-08-03,18,4463.3,4563.8
D,2020-08-03,19,4331.3,4450.3
D,2020-08-03,20,4308.5,4289.5
D,2020-08-03,21,4156.8,4120.2
D,2020-08-03,22,3891.7,3901.8
D,2020-08-03,23,3555.2,3604.1
D,2020-08-03,24,3309.0,3326.5
T,24 lines
