C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210615_20210615.csv
C,Time period: 2021-06-15 to 2021-06-15
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-06-23 16:01:14 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-06-15,01,2265.3,2205.81
D,2021-06-15,02,2183.4,2114.58
D,2021-06-15,03,2118.7,2069.29
D,2021-06-15,04,2092.8,2054.73
D,2021-06-15,05,2115.1,2091.97
D,2021-06-15,06,2219.1,2207.38
D,2021-06-15,07,2502.6,2438.63
D,2021-06-15,08,2745.6,2667.16
D,2021-06-15,09,2884.7,2805.5
D,2021-06-15,10,2962.0,2888.23
D,2021-06-15,11,3066.3,2936.79
D,2021-06-15,12,3105.6,3001.37
D,2021-06-15,13,3147.7,3022.4
D,2021-06-15,14,3189.3,3050.77
D,2021-06-15,15,3235.9,3113.79
D,2021-06-15,16,3256.0,3146.24
D,2021-06-15,17,3304.2,3217.22
D,2021-06-15,18,3373.4,3300.34
D,2021-06-15,19,3271.0,3212.78
D,2021-06-15,20,3185.6,3101.47
D,2021-06-15,21,3169.8,3006.83
D,2021-06-15,22,3065.1,2886.67
D,2021-06-15,23,2841.6,2668.79
D,2021-06-15,24,2561.1,2446.41
T,24 lines
