C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200512_20200512.csv
C,Time period: 2020-05-12 to 2020-05-12
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-05-14 15:56:50 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-05-12,01,1894.2,
D,2020-05-12,02,1820.5,
D,2020-05-12,03,1781.4,
D,2020-05-12,04,1778.7,
D,2020-05-12,05,1823.0,
D,2020-05-12,06,1945.6,
D,2020-05-12,07,2129.8,
D,2020-05-12,08,2216.7,
D,2020-05-12,09,2216.0,
D,2020-05-12,10,2183.1,
D,2020-05-12,11,2190.6,
D,2020-05-12,12,2202.2,
D,2020-05-12,13,2190.2,
D,2020-05-12,14,2188.4,
D,2020-05-12,15,2186.7,
D,2020-05-12,16,2181.9,
D,2020-05-12,17,2264.0,
D,2020-05-12,18,2358.3,
D,2020-05-12,19,2512.4,
D,2020-05-12,20,2484.0,
D,2020-05-12,21,2454.8,
D,2020-05-12,22,2368.5,
D,2020-05-12,23,2193.4,
D,2020-05-12,24,2039.3,
T,24 lines
