C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210607_20210607.csv
C,Time period: 2021-06-07 to 2021-06-07
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-06-11 03:21:34 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-06-07,01,2851.0,3033.06
D,2021-06-07,02,2701.1,2869.28
D,2021-06-07,03,2585.3,2756.65
D,2021-06-07,04,2511.4,2688.74
D,2021-06-07,05,2497.4,2678.67
D,2021-06-07,06,2599.7,2752.46
D,2021-06-07,07,2800.9,3025.5
D,2021-06-07,08,3167.4,3346.45
D,2021-06-07,09,3308.7,3616.82
D,2021-06-07,10,3447.6,3864.39
D,2021-06-07,11,3641.9,4090.07
D,2021-06-07,12,3779.4,4298.08
D,2021-06-07,13,3930.3,4447.69
D,2021-06-07,14,4028.5,4530.48
D,2021-06-07,15,4198.0,4609.79
D,2021-06-07,16,4325.5,4717.1
D,2021-06-07,17,4366.9,4763.0
D,2021-06-07,18,4408.4,4791.78
D,2021-06-07,19,4349.9,4705.24
D,2021-06-07,20,4196.0,4581.98
D,2021-06-07,21,3979.6,4442.32
D,2021-06-07,22,3694.0,4240.8
D,2021-06-07,23,3457.3,3927.9
D,2021-06-07,24,3159.7,3603.68
T,24 lines
