C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210601_20210601.csv
C,Time period: 2021-06-01 to 2021-06-01
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-06-06 18:55:17 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-06-01,01,1924.5,1886.09
D,2021-06-01,02,1852.3,1813.13
D,2021-06-01,03,1770.3,1781.53
D,2021-06-01,04,1767.8,1777.07
D,2021-06-01,05,1800.5,1810.41
D,2021-06-01,06,1891.0,1923.67
D,2021-06-01,07,2082.1,2131.36
D,2021-06-01,08,2299.5,2315.11
D,2021-06-01,09,2421.1,2396.68
D,2021-06-01,10,2460.4,2482.3
D,2021-06-01,11,2509.9,2512.29
D,2021-06-01,12,2556.0,2531.21
D,2021-06-01,13,2605.4,2618.88
D,2021-06-01,14,2684.9,2623.84
D,2021-06-01,15,2684.1,2567.46
D,2021-06-01,16,2704.3,2600.94
D,2021-06-01,17,2708.6,2639.68
D,2021-06-01,18,2763.9,2709.2
D,2021-06-01,19,2706.6,2701.4
D,2021-06-01,20,2719.6,2659.05
D,2021-06-01,21,2682.5,2637.42
D,2021-06-01,22,2551.8,2531.6
D,2021-06-01,23,2365.6,2338.9
D,2021-06-01,24,2152.8,2145.08
T,24 lines
