"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20171028_20171111.csv"
"C","Report for: 10/28/2017 - 11/11/2017"
"C","Report generated: 04/13/2020 22:55:12 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","10/28/2017","01",10214.02
"D","10/28/2017","02",9715.35
"D","10/28/2017","03",9507.74
"D","10/28/2017","04",9403.82
"D","10/28/2017","05",9503.76
"D","10/28/2017","06",9867.71
"D","10/28/2017","07",10387.09
"D","10/28/2017","08",11161.21
"D","10/28/2017","09",11697.95
"D","10/28/2017","10",11744.73
"D","10/28/2017","11",11653.7
"D","10/28/2017","12",11530.99
"D","10/28/2017","13",11352.04
"D","10/28/2017","14",11235.33
"D","10/28/2017","15",11260.76
"D","10/28/2017","16",11586.66
"D","10/28/2017","17",12134.85
"D","10/28/2017","18",12813.7
"D","10/28/2017","19",13479.93
"D","10/28/2017","20",13154.25
"D","10/28/2017","21",12676.17
"D","10/28/2017","22",12034.33
"D","10/28/2017","23",11210.21
"D","10/28/2017","24",10582.74
"D","10/29/2017","01",9975.3
"D","10/29/2017","02",9558.12
"D","10/29/2017","03",9317.14
"D","10/29/2017","04",9437.0
"D","10/29/2017","05",9458.95
"D","10/29/2017","06",9669.71
"D","10/29/2017","07",9911.8
"D","10/29/2017","08",10528.28
"D","10/29/2017","09",11382.87
"D","10/29/2017","10",11887.67
"D","10/29/2017","11",12353.1
"D","10/29/2017","12",12735.31
"D","10/29/2017","13",12993.54
"D","10/29/2017","14",13031.72
"D","10/29/2017","15",12999.98
"D","10/29/2017","16",13018.56
"D","10/29/2017","17",13442.6
"D","10/29/2017","18",14093.25
"D","10/29/2017","19",14362.09
"D","10/29/2017","20",13930.13
"D","10/29/2017","21",13307.06
"D","10/29/2017","22",12392.98
"D","10/29/2017","23",11363.15
"D","10/29/2017","24",10541.65
"D","10/30/2017","01",9700.29
"D","10/30/2017","02",9241.27
"D","10/30/2017","03",9029.23
"D","10/30/2017","04",9016.15
"D","10/30/2017","05",9378.65
"D","10/30/2017","06",9881.49
"D","10/30/2017","07",10560.43
"D","10/30/2017","08",11972.89
"D","10/30/2017","09",11822.94
"D","10/30/2017","10",11892.57
"D","10/30/2017","11",12109.04
"D","10/30/2017","12",12154.11
"D","10/30/2017","13",11870.34
"D","10/30/2017","14",11805.72
"D","10/30/2017","15",11685.34
"D","10/30/2017","16",11705.66
"D","10/30/2017","17",12125.72
"D","10/30/2017","18",12842.42
"D","10/30/2017","19",13587.01
"D","10/30/2017","20",13425.46
"D","10/30/2017","21",12909.58
"D","10/30/2017","22",12086.58
"D","10/30/2017","23",11028.91
"D","10/30/2017","24",10306.25
"D","10/31/2017","01",9764.82
"D","10/31/2017","02",9543.39
"D","10/31/2017","03",9085.41
"D","10/31/2017","04",9323.67
"D","10/31/2017","05",9587.54
"D","10/31/2017","06",9993.59
"D","10/31/2017","07",11631.14
"D","10/31/2017","08",12725.25
"D","10/31/2017","09",12752.44
"D","10/31/2017","10",12553.95
"D","10/31/2017","11",12526.11
"D","10/31/2017","12",12333.24
"D","10/31/2017","13",12101.25
"D","10/31/2017","14",12173.26
"D","10/31/2017","15",12166.21
"D","10/31/2017","16",12412.8
"D","10/31/2017","17",12946.42
"D","10/31/2017","18",13446.79
"D","10/31/2017","19",13811.48
"D","10/31/2017","20",13540.31
"D","10/31/2017","21",13258.52
"D","10/31/2017","22",12631.56
"D","10/31/2017","23",11582.45
"D","10/31/2017","24",10595.48
"D","11/01/2017","01",10172.54
"D","11/01/2017","02",10242.47
"D","11/01/2017","03",10443.89
"D","11/01/2017","04",10292.93
"D","11/01/2017","05",10229.94
"D","11/01/2017","06",10917.34
"D","11/01/2017","07",12437.74
"D","11/01/2017","08",13588.8
"D","11/01/2017","09",13737.9
"D","11/01/2017","10",13714.63
"D","11/01/2017","11",13762.32
"D","11/01/2017","12",13857.2
"D","11/01/2017","13",13730.52
"D","11/01/2017","14",13657.21
"D","11/01/2017","15",13534.86
"D","11/01/2017","16",13634.01
"D","11/01/2017","17",14017.17
"D","11/01/2017","18",14763.27
"D","11/01/2017","19",15270.86
"D","11/01/2017","20",14943.72
"D","11/01/2017","21",14311.91
"D","11/01/2017","22",13311.7
"D","11/01/2017","23",12198.7
"D","11/01/2017","24",11209.74
"D","11/02/2017","01",10770.0
"D","11/02/2017","02",10498.88
"D","11/02/2017","03",10248.85
"D","11/02/2017","04",10320.47
"D","11/02/2017","05",10845.92
"D","11/02/2017","06",11649.05
"D","11/02/2017","07",13036.28
"D","11/02/2017","08",13671.86
"D","11/02/2017","09",13766.04
"D","11/02/2017","10",13819.87
"D","11/02/2017","11",13951.22
"D","11/02/2017","12",13975.18
"D","11/02/2017","13",13855.22
"D","11/02/2017","14",13679.63
"D","11/02/2017","15",13700.03
"D","11/02/2017","16",13786.2
"D","11/02/2017","17",14009.38
"D","11/02/2017","18",14620.78
"D","11/02/2017","19",15201.89
"D","11/02/2017","20",14857.79
"D","11/02/2017","21",14162.39
"D","11/02/2017","22",13166.06
"D","11/02/2017","23",11904.49
"D","11/02/2017","24",11056.58
"D","11/03/2017","01",10576.5
"D","11/03/2017","02",10427.91
"D","11/03/2017","03",10416.53
"D","11/03/2017","04",10353.49
"D","11/03/2017","05",10579.53
"D","11/03/2017","06",11126.7
"D","11/03/2017","07",12416.42
"D","11/03/2017","08",13342.68
"D","11/03/2017","09",13569.25
