C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210416_20210416.csv
C,Time period: 2021-04-16 to 2021-04-16
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-04-24 09:49:03 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-04-16,01,2089.4,2000.07
D,2021-04-16,02,1964.3,1934.89
D,2021-04-16,03,1944.9,1909.19
D,2021-04-16,04,1943.7,1920.43
D,2021-04-16,05,1997.4,1968.13
D,2021-04-16,06,2136.9,2107.73
D,2021-04-16,07,2376.5,2336.74
D,2021-04-16,08,2555.5,2573.07
D,2021-04-16,09,2674.7,2738.57
D,2021-04-16,10,2722.2,2846.27
D,2021-04-16,11,2739.0,2893.97
D,2021-04-16,12,2738.1,2920.87
D,2021-04-16,13,2712.4,2927.74
D,2021-04-16,14,2695.3,2913.56
D,2021-04-16,15,2654.7,2898.12
D,2021-04-16,16,2694.0,2873.65
D,2021-04-16,17,2709.6,2877.23
D,2021-04-16,18,2761.3,2868.13
D,2021-04-16,19,2726.7,2806.47
D,2021-04-16,20,2724.7,2780.93
D,2021-04-16,21,2659.3,2731.76
D,2021-04-16,22,2515.7,2600.13
D,2021-04-16,23,2401.7,2434.62
D,2021-04-16,24,2241.3,2271.89
T,24 lines
