C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210107_20210107.csv
C,Time period: 2021-01-07 to 2021-01-07
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-01-17 06:46:25 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-01-07,01,2393.9,2376.6
D,2021-01-07,02,2307.5,2296.1
D,2021-01-07,03,2290.6,2262.15
D,2021-01-07,04,2285.4,2264.61
D,2021-01-07,05,2348.1,2321.02
D,2021-01-07,06,2518.7,2469.39
D,2021-01-07,07,2770.8,2710.82
D,2021-01-07,08,2903.5,2898.05
D,2021-01-07,09,2909.1,2977.0
D,2021-01-07,10,2864.3,2949.3
D,2021-01-07,11,2824.4,2898.92
D,2021-01-07,12,2797.1,2850.64
D,2021-01-07,13,2763.8,2834.58
D,2021-01-07,14,2759.1,2836.9
D,2021-01-07,15,2777.6,2847.87
D,2021-01-07,16,2841.2,2891.5
D,2021-01-07,17,3007.8,3038.54
D,2021-01-07,18,3163.8,3203.84
D,2021-01-07,19,3113.2,3154.01
D,2021-01-07,20,3031.8,3068.29
D,2021-01-07,21,2913.5,2955.7
D,2021-01-07,22,2774.4,2814.83
D,2021-01-07,23,2544.0,2639.97
D,2021-01-07,24,2524.5,2484.26
T,24 lines
