"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20210328.csv"
"C","Report for: 03/28/2021 - 03/28/2021"
"C","Report generated: 03/31/2021 17:29:05 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","03/28/2021","01",9883.78
"D","03/28/2021","02",9796.62
"D","03/28/2021","03",9796.96
"D","03/28/2021","04",9801.42
"D","03/28/2021","05",9677.18
"D","03/28/2021","06",9874.65
"D","03/28/2021","07",10261.32
"D","03/28/2021","08",10645.95
"D","03/28/2021","09",11527.94
"D","03/28/2021","10",11790.76
"D","03/28/2021","11",12389.99
"D","03/28/2021","12",12858.32
"D","03/28/2021","13",13214.04
"D","03/28/2021","14",13276.16
"D","03/28/2021","15",13233.5
"D","03/28/2021","16",13263.96
"D","03/28/2021","17",13455.72
"D","03/28/2021","18",13785.75
"D","03/28/2021","19",13738.39
"D","03/28/2021","20",13522.54
"D","03/28/2021","21",12929.56
"D","03/28/2021","22",12097.87
"D","03/28/2021","23",11164.83
"D","03/28/2021","24",10638.4
"T","24 lines"
