C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20211109_20211109.csv
C,Time period: 2021-11-09 to 2021-11-09
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-11-17 16:25:32 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-11-09,01,1989.6,1990.77
D,2021-11-09,02,1935.1,1933.91
D,2021-11-09,03,1916.3,1909.8
D,2021-11-09,04,1915.5,1913.7
D,2021-11-09,05,1957.7,1966.29
D,2021-11-09,06,2129.4,2149.44
D,2021-11-09,07,2364.9,2424.6
D,2021-11-09,08,2572.9,2551.02
D,2021-11-09,09,2566.6,2556.14
D,2021-11-09,10,2549.0,2553.24
D,2021-11-09,11,2506.8,2542.58
D,2021-11-09,12,2501.1,2560.16
D,2021-11-09,13,2521.2,2578.97
D,2021-11-09,14,2551.0,2590.43
D,2021-11-09,15,2597.0,2629.48
D,2021-11-09,16,2647.9,2680.87
D,2021-11-09,17,2751.3,2770.73
D,2021-11-09,18,2888.6,2843.99
D,2021-11-09,19,2696.5,2772.67
D,2021-11-09,20,2673.4,2690.27
D,2021-11-09,21,2577.9,2565.84
D,2021-11-09,22,2402.9,2409.26
D,2021-11-09,23,2223.4,2219.0
D,2021-11-09,24,2030.8,2059.54
T,24 lines
