C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210522_20210522.csv
C,Time period: 2021-05-22 to 2021-05-22
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-05-26 04:44:15 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-05-22,01,2098.4,2098.86
D,2021-05-22,02,2003.4,1998.59
D,2021-05-22,03,1939.6,1935.63
D,2021-05-22,04,1902.1,1901.54
D,2021-05-22,05,1897.1,1896.69
D,2021-05-22,06,1920.2,1911.16
D,2021-05-22,07,1962.8,1978.63
D,2021-05-22,08,2151.9,2092.51
D,2021-05-22,09,2306.4,2216.58
D,2021-05-22,10,2389.7,2341.98
D,2021-05-22,11,2498.7,2535.16
D,2021-05-22,12,2587.4,2650.41
D,2021-05-22,13,2589.5,2730.1
D,2021-05-22,14,2647.1,2879.19
D,2021-05-22,15,2724.5,2933.74
D,2021-05-22,16,2797.1,3001.57
D,2021-05-22,17,2856.2,3081.45
D,2021-05-22,18,2888.4,3126.58
D,2021-05-22,19,2893.8,3153.89
D,2021-05-22,20,2868.5,3101.95
D,2021-05-22,21,2870.5,3043.38
D,2021-05-22,22,2830.7,2941.59
D,2021-05-22,23,2634.2,2794.0
D,2021-05-22,24,2474.1,2616.12
T,24 lines
