C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210711_20210711.csv
C,Time period: 2021-07-11 to 2021-07-11
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-07-16 04:42:34 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-07-11,01,2324.3,2189.91
D,2021-07-11,02,2183.7,2098.66
D,2021-07-11,03,2113.9,2027.84
D,2021-07-11,04,2087.5,1988.49
D,2021-07-11,05,2057.1,1972.5
D,2021-07-11,06,2057.9,1961.09
D,2021-07-11,07,2093.2,2029.67
D,2021-07-11,08,2203.3,2144.18
D,2021-07-11,09,2325.4,2308.1
D,2021-07-11,10,2452.4,2457.11
D,2021-07-11,11,2573.1,2528.45
D,2021-07-11,12,2716.3,2669.05
D,2021-07-11,13,2828.6,2793.76
D,2021-07-11,14,2919.9,2877.73
D,2021-07-11,15,3035.3,2963.63
D,2021-07-11,16,3074.9,3048.39
D,2021-07-11,17,3119.2,3079.54
D,2021-07-11,18,3160.4,3115.95
D,2021-07-11,19,3161.2,3124.09
D,2021-07-11,20,3081.9,3086.94
D,2021-07-11,21,3116.9,3052.33
D,2021-07-11,22,2957.5,2986.32
D,2021-07-11,23,2770.2,2811.36
D,2021-07-11,24,2572.0,2620.75
T,24 lines
