C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20201124_20201124.csv
C,Time period: 2020-11-24 to 2020-11-24
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-12-08 01:07:13 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-11-24,01,2060.3,2159.4
D,2020-11-24,02,1993.9,2090.7
D,2020-11-24,03,1958.7,2064.5
D,2020-11-24,04,1971.0,2073.1
D,2020-11-24,05,2045.5,2137.9
D,2020-11-24,06,2247.5,2297.3
D,2020-11-24,07,2487.2,2560.5
D,2020-11-24,08,2712.5,2711.5
D,2020-11-24,09,2717.5,2784.9
D,2020-11-24,10,2667.5,2758.1
D,2020-11-24,11,2597.2,2732.6
D,2020-11-24,12,2546.8,2696.4
D,2020-11-24,13,2596.7,2687.6
D,2020-11-24,14,2593.1,2692.6
D,2020-11-24,15,2649.5,2732.7
D,2020-11-24,16,2729.4,2800.7
D,2020-11-24,17,2927.1,2961.3
D,2020-11-24,18,3148.0,3071.7
D,2020-11-24,19,3119.5,3018.9
D,2020-11-24,20,3061.0,2949.4
D,2020-11-24,21,2943.8,2836.4
D,2020-11-24,22,2734.2,2694.1
D,2020-11-24,23,2531.8,2520.3
D,2020-11-24,24,2356.1,2368.9
T,24 lines
