C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200927_20200927.csv
C,Time period: 2020-09-27 to 2020-09-27
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-09-30 15:28:41 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-09-27,01,2096.4,2172.5
D,2020-09-27,02,2026.6,2099.2
D,2020-09-27,03,1972.5,2052.3
D,2020-09-27,04,1916.1,2029.7
D,2020-09-27,05,1933.3,2029.1
D,2020-09-27,06,1968.8,2052.3
D,2020-09-27,07,2023.1,2110.4
D,2020-09-27,08,2090.9,2185.8
D,2020-09-27,09,2238.4,2303.1
D,2020-09-27,10,2311.0,2436.9
D,2020-09-27,11,2406.7,2531.7
D,2020-09-27,12,2459.1,2590.6
D,2020-09-27,13,2557.9,2686.7
D,2020-09-27,14,2591.7,2753.5
D,2020-09-27,15,2641.4,2810.0
D,2020-09-27,16,2782.9,2841.9
D,2020-09-27,17,2934.1,2884.3
D,2020-09-27,18,2960.4,2950.3
D,2020-09-27,19,2936.5,3020.9
D,2020-09-27,20,2912.2,3051.5
D,2020-09-27,21,2782.9,2978.7
D,2020-09-27,22,2667.8,2848.3
D,2020-09-27,23,2498.4,2680.0
D,2020-09-27,24,2331.1,2498.7
T,24 lines
