C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20201106_20201106.csv
C,Time period: 2020-11-06 to 2020-11-06
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-11-13 15:09:21 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-11-06,01,1969.9,1967.6
D,2020-11-06,02,1921.3,1888.4
D,2020-11-06,03,1877.0,1849.8
D,2020-11-06,04,1863.4,1843.8
D,2020-11-06,05,1904.0,1883.4
D,2020-11-06,06,2053.2,2015.5
D,2020-11-06,07,2321.3,2234.2
D,2020-11-06,08,2495.2,2407.7
D,2020-11-06,09,2627.3,2520.9
D,2020-11-06,10,2656.4,2523.2
D,2020-11-06,11,2658.4,2522.3
D,2020-11-06,12,2605.1,2542.1
D,2020-11-06,13,2593.7,2577.5
D,2020-11-06,14,2606.8,2604.8
D,2020-11-06,15,2643.5,2632.1
D,2020-11-06,16,2677.6,2657.0
D,2020-11-06,17,2836.9,2722.9
D,2020-11-06,18,2880.4,2804.2
D,2020-11-06,19,2742.3,2700.2
D,2020-11-06,20,2630.1,2581.9
D,2020-11-06,21,2526.0,2457.2
D,2020-11-06,22,2360.0,2334.3
D,2020-11-06,23,2236.8,2190.4
D,2020-11-06,24,2080.0,2050.0
T,24 lines
