C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210125_20210125.csv
C,Time period: 2021-01-25 to 2021-01-25
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-01-28 17:57:12 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-01-25,01,2452.3,2548.24
D,2021-01-25,02,2406.4,2498.11
D,2021-01-25,03,2384.2,2485.87
D,2021-01-25,04,2399.6,2502.99
D,2021-01-25,05,2456.9,2577.55
D,2021-01-25,06,2638.7,2730.6
D,2021-01-25,07,2921.0,2980.69
D,2021-01-25,08,3164.4,3180.7
D,2021-01-25,09,3099.5,3239.7
D,2021-01-25,10,3014.2,3188.57
D,2021-01-25,11,3008.3,3119.26
D,2021-01-25,12,2988.1,3068.64
D,2021-01-25,13,2939.8,3032.79
D,2021-01-25,14,2919.3,2998.98
D,2021-01-25,15,2960.4,2990.67
D,2021-01-25,16,3047.2,3046.03
D,2021-01-25,17,3171.0,3177.74
D,2021-01-25,18,3298.7,3358.16
D,2021-01-25,19,3283.6,3307.22
D,2021-01-25,20,3211.3,3212.07
D,2021-01-25,21,3090.0,3082.92
D,2021-01-25,22,2904.8,2927.61
D,2021-01-25,23,2697.0,2738.26
D,2021-01-25,24,2541.4,2573.8
T,24 lines
