C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210731_20210731.csv
C,Time period: 2021-07-31 to 2021-07-31
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-09-21 13:26:58 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-07-31,01,2172.2,2183.16
D,2021-07-31,02,2064.4,2061.92
D,2021-07-31,03,2004.1,1976.73
D,2021-07-31,04,1960.9,1930.77
D,2021-07-31,05,1947.2,1915.14
D,2021-07-31,06,1952.4,1931.8
D,2021-07-31,07,1977.3,1988.73
D,2021-07-31,08,2077.9,2081.56
D,2021-07-31,09,2201.2,2184.75
D,2021-07-31,10,2247.3,2246.55
D,2021-07-31,11,2347.4,2293.16
D,2021-07-31,12,2389.2,2331.9
D,2021-07-31,13,2459.4,2366.08
D,2021-07-31,14,2503.6,2400.38
D,2021-07-31,15,2530.6,2468.99
D,2021-07-31,16,2584.1,2549.51
D,2021-07-31,17,2602.5,2619.9
D,2021-07-31,18,2692.6,2671.94
D,2021-07-31,19,2698.9,2675.04
D,2021-07-31,20,2649.8,2630.91
D,2021-07-31,21,2642.9,2600.78
D,2021-07-31,22,2585.6,2529.97
D,2021-07-31,23,2435.4,2385.62
D,2021-07-31,24,2223.6,2239.68
T,24 lines
