C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210102_20210102.csv
C,Time period: 2021-01-02 to 2021-01-02
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-01-15 14:08:02 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-01-02,01,2357.3,2265.28
D,2021-01-02,02,2264.1,2183.47
D,2021-01-02,03,2243.2,2135.89
D,2021-01-02,04,2194.8,2112.75
D,2021-01-02,05,2234.4,2115.42
D,2021-01-02,06,2290.5,2163.37
D,2021-01-02,07,2347.7,2248.08
D,2021-01-02,08,2484.2,2329.44
D,2021-01-02,09,2599.4,2436.01
D,2021-01-02,10,2672.8,2544.34
D,2021-01-02,11,2692.3,2604.86
D,2021-01-02,12,2686.1,2663.8
D,2021-01-02,13,2674.7,2658.94
D,2021-01-02,14,2658.2,2592.05
D,2021-01-02,15,2659.7,2561.36
D,2021-01-02,16,2704.5,2614.0
D,2021-01-02,17,2796.8,2784.58
D,2021-01-02,18,2894.8,2915.97
D,2021-01-02,19,2901.9,2913.55
D,2021-01-02,20,2846.1,2857.2
D,2021-01-02,21,2794.4,2780.04
D,2021-01-02,22,2659.3,2674.2
D,2021-01-02,23,2537.2,2539.98
D,2021-01-02,24,2401.1,2411.62
T,24 lines
