C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20211119_20211119.csv
C,Time period: 2021-11-19 to 2021-11-19
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-11-27 01:26:36 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-11-19,01,2050.7,1961.34
D,2021-11-19,02,1950.2,1887.86
D,2021-11-19,03,1920.9,1856.33
D,2021-11-19,04,1923.9,1857.75
D,2021-11-19,05,1970.5,1909.63
D,2021-11-19,06,2118.8,2060.45
D,2021-11-19,07,2331.0,2331.22
D,2021-11-19,08,2557.6,2501.26
D,2021-11-19,09,2618.1,2566.52
D,2021-11-19,10,2582.1,2543.91
D,2021-11-19,11,2530.2,2567.41
D,2021-11-19,12,2533.2,2585.42
D,2021-11-19,13,2523.6,2584.52
D,2021-11-19,14,2566.0,2598.01
D,2021-11-19,15,2600.2,2641.77
D,2021-11-19,16,2698.6,2728.44
D,2021-11-19,17,2833.2,2863.21
D,2021-11-19,18,2949.3,2939.88
D,2021-11-19,19,2853.1,2860.83
D,2021-11-19,20,2769.0,2767.74
D,2021-11-19,21,2689.9,2672.4
D,2021-11-19,22,2561.9,2552.47
D,2021-11-19,23,2436.9,2419.46
D,2021-11-19,24,2284.8,2269.84
T,24 lines
