C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210622_20210622.csv
C,Time period: 2021-06-22 to 2021-06-22
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-06-29 04:01:40 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-06-22,01,3046.5,3001.78
D,2021-06-22,02,2901.5,2840.73
D,2021-06-22,03,2783.2,2727.46
D,2021-06-22,04,2730.2,2688.88
D,2021-06-22,05,2693.4,2703.99
D,2021-06-22,06,2796.0,2807.17
D,2021-06-22,07,3007.7,3036.71
D,2021-06-22,08,3334.1,3290.33
D,2021-06-22,09,3463.3,3521.14
D,2021-06-22,10,3496.9,3732.94
D,2021-06-22,11,3559.0,3887.9
D,2021-06-22,12,3634.9,4032.45
D,2021-06-22,13,3697.3,4132.12
D,2021-06-22,14,3748.5,4033.37
D,2021-06-22,15,3763.0,3862.35
D,2021-06-22,16,3714.5,3590.45
D,2021-06-22,17,3713.1,3409.71
D,2021-06-22,18,3613.2,3340.1
D,2021-06-22,19,3493.4,3243.74
D,2021-06-22,20,3355.7,3123.94
D,2021-06-22,21,3244.5,3047.23
D,2021-06-22,22,3090.8,2909.73
D,2021-06-22,23,2889.8,2721.47
D,2021-06-22,24,2640.1,2476.35
T,24 lines
