C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200527_20200527.csv
C,Time period: 2020-05-27 to 2020-05-27
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-06-09 09:51:49 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-05-27,01,1898.3,2110.2
D,2020-05-27,02,1912.1,2007.6
D,2020-05-27,03,1864.5,1944.1
D,2020-05-27,04,1846.3,1920.7
D,2020-05-27,05,1876.9,1938.6
D,2020-05-27,06,1974.2,2002.8
D,2020-05-27,07,2173.0,2148.9
D,2020-05-27,08,2345.3,2334.0
D,2020-05-27,09,2503.9,2501.1
D,2020-05-27,10,2568.3,2617.6
D,2020-05-27,11,2550.7,2725.3
D,2020-05-27,12,2669.5,2849.1
D,2020-05-27,13,2821.3,2974.8
D,2020-05-27,14,2891.5,3083.4
D,2020-05-27,15,2945.1,3177.2
D,2020-05-27,16,2970.5,3273.8
D,2020-05-27,17,3035.7,3352.2
D,2020-05-27,18,3113.0,3390.1
D,2020-05-27,19,3168.9,3311.6
D,2020-05-27,20,3046.1,3203.8
D,2020-05-27,21,2997.8,3118.4
D,2020-05-27,22,2815.8,2976.4
D,2020-05-27,23,2569.5,2759.0
D,2020-05-27,24,2318.0,2542.7
T,24 lines
