C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200806_20200806.csv
C,Time period: 2020-08-06 to 2020-08-06
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-08-14 01:09:41 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-08-06,01,2675.1,2823.9
D,2020-08-06,02,2518.3,2639.4
D,2020-08-06,03,2491.8,2514.4
D,2020-08-06,04,2413.2,2432.9
D,2020-08-06,05,2391.5,2418.3
D,2020-08-06,06,2491.1,2487.4
D,2020-08-06,07,2612.8,2650.0
D,2020-08-06,08,2899.8,2858.2
D,2020-08-06,09,2991.0,3037.3
D,2020-08-06,10,3082.5,3169.2
D,2020-08-06,11,3237.9,3288.7
D,2020-08-06,12,3360.6,3406.8
D,2020-08-06,13,3465.6,3523.2
D,2020-08-06,14,3544.8,3631.0
D,2020-08-06,15,3629.9,3695.7
D,2020-08-06,16,3641.6,3716.8
D,2020-08-06,17,3746.5,3769.8
D,2020-08-06,18,3783.4,3805.6
D,2020-08-06,19,3643.5,3699.1
D,2020-08-06,20,3523.7,3547.8
D,2020-08-06,21,3437.3,3441.8
D,2020-08-06,22,3260.2,3281.2
D,2020-08-06,23,2997.0,3042.2
D,2020-08-06,24,2751.4,2809.5
T,24 lines
