C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210202_20210202.csv
C,Time period: 2021-02-02 to 2021-02-02
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-02-10 00:05:01 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-02-02,01,2367.8,2542.67
D,2021-02-02,02,2292.2,2461.08
D,2021-02-02,03,2249.1,2440.01
D,2021-02-02,04,2254.1,2437.16
D,2021-02-02,05,2292.6,2483.91
D,2021-02-02,06,2448.0,2596.66
D,2021-02-02,07,2666.3,2775.84
D,2021-02-02,08,2895.7,2949.09
D,2021-02-02,09,3052.8,3090.89
D,2021-02-02,10,3090.3,3162.31
D,2021-02-02,11,3103.9,3215.92
D,2021-02-02,12,3113.6,3261.02
D,2021-02-02,13,3112.4,3275.8
D,2021-02-02,14,3116.2,3251.85
D,2021-02-02,15,3122.8,3215.71
D,2021-02-02,16,3129.2,3206.36
D,2021-02-02,17,3169.2,3255.6
D,2021-02-02,18,3304.4,3371.82
D,2021-02-02,19,3207.8,3324.82
D,2021-02-02,20,3106.2,3206.86
D,2021-02-02,21,2967.4,3063.74
D,2021-02-02,22,2817.1,2894.28
D,2021-02-02,23,2669.4,2697.22
D,2021-02-02,24,2494.4,2539.76
T,24 lines
