C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210730_20210730.csv
C,Time period: 2021-07-30 to 2021-07-30
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-09-21 13:18:14 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-07-30,01,2476.4,2419.48
D,2021-07-30,02,2369.1,2318.5
D,2021-07-30,03,2314.7,2234.43
D,2021-07-30,04,2287.4,2215.39
D,2021-07-30,05,2308.8,2223.83
D,2021-07-30,06,2423.5,2299.63
D,2021-07-30,07,2629.9,2481.38
D,2021-07-30,08,2824.0,2702.03
D,2021-07-30,09,2978.2,2864.18
D,2021-07-30,10,3047.4,2972.31
D,2021-07-30,11,3157.6,3046.72
D,2021-07-30,12,3240.1,3133.5
D,2021-07-30,13,3301.8,3201.51
D,2021-07-30,14,3338.3,3252.73
D,2021-07-30,15,3379.0,3284.08
D,2021-07-30,16,3350.5,3252.38
D,2021-07-30,17,3373.9,3270.73
D,2021-07-30,18,3373.5,3253.29
D,2021-07-30,19,3214.6,3062.5
D,2021-07-30,20,3039.1,2929.58
D,2021-07-30,21,2964.9,2837.03
D,2021-07-30,22,2820.1,2706.7
D,2021-07-30,23,2593.0,2524.71
D,2021-07-30,24,2379.0,2334.15
T,24 lines
