C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20211012_20211012.csv
C,Time period: 2021-10-12 to 2021-10-12
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-10-18 23:36:22 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-10-12,01,1919.5,2005.36
D,2021-10-12,02,1844.0,1913.55
D,2021-10-12,03,1800.1,1865.6
D,2021-10-12,04,1821.7,1852.27
D,2021-10-12,05,1853.7,1880.17
D,2021-10-12,06,1974.6,2016.6
D,2021-10-12,07,2269.1,2268.99
D,2021-10-12,08,2417.3,2435.29
D,2021-10-12,09,2515.3,2517.52
D,2021-10-12,10,2573.6,2575.04
D,2021-10-12,11,2650.0,2633.92
D,2021-10-12,12,2676.0,2644.72
D,2021-10-12,13,2697.9,2693.66
D,2021-10-12,14,2691.0,2741.74
D,2021-10-12,15,2710.5,2787.82
D,2021-10-12,16,2740.2,2846.04
D,2021-10-12,17,2801.0,2902.62
D,2021-10-12,18,2854.5,2939.61
D,2021-10-12,19,2909.6,2927.64
D,2021-10-12,20,2789.7,2869.35
D,2021-10-12,21,2642.8,2730.97
D,2021-10-12,22,2468.8,2559.47
D,2021-10-12,23,2265.7,2362.82
D,2021-10-12,24,2080.2,2178.61
T,24 lines
