"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20200502.csv"
"C","Report for: 05/02/2020 - 05/02/2020"
"C","Report generated: 05/12/2020 19:50:57 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","05/02/2020","01",9546.55
"D","05/02/2020","02",9455.09
"D","05/02/2020","03",8950.97
"D","05/02/2020","04",8864.37
"D","05/02/2020","05",8916.1
"D","05/02/2020","06",9153.5
"D","05/02/2020","07",9408.75
"D","05/02/2020","08",9265.74
"D","05/02/2020","09",9134.05
"D","05/02/2020","10",9112.8
"D","05/02/2020","11",8932.4
"D","05/02/2020","12",8855.49
"D","05/02/2020","13",8755.95
"D","05/02/2020","14",8581.51
"D","05/02/2020","15",8513.73
"D","05/02/2020","16",8683.22
"D","05/02/2020","17",9505.98
"D","05/02/2020","18",10452.22
"D","05/02/2020","19",11111.0
"D","05/02/2020","20",11386.82
"D","05/02/2020","21",11567.89
"D","05/02/2020","22",11008.16
"D","05/02/2020","23",10286.79
"D","05/02/2020","24",9547.97
"T","24 lines"
