"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20200526.csv"
"C","Report for: 05/26/2020 - 05/26/2020"
"C","Report generated: 06/10/2020 19:04:30 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","05/26/2020","01",9228.8
"D","05/26/2020","02",8804.05
"D","05/26/2020","03",8788.22
"D","05/26/2020","04",8800.04
"D","05/26/2020","05",9232.0
"D","05/26/2020","06",9504.81
"D","05/26/2020","07",10301.19
"D","05/26/2020","08",11139.13
"D","05/26/2020","09",11643.91
"D","05/26/2020","10",11446.94
"D","05/26/2020","11",11247.23
"D","05/26/2020","12",11363.38
"D","05/26/2020","13",11655.72
"D","05/26/2020","14",12057.59
"D","05/26/2020","15",12590.69
"D","05/26/2020","16",13012.16
"D","05/26/2020","17",13410.54
"D","05/26/2020","18",14242.55
"D","05/26/2020","19",14677.26
"D","05/26/2020","20",14571.78
"D","05/26/2020","21",14384.98
"D","05/26/2020","22",13842.95
"D","05/26/2020","23",12698.53
"D","05/26/2020","24",11561.69
"T","24 lines"
