C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20200908_20200908.csv
C,Time period: 2020-09-08 to 2020-09-08
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-09-11 23:31:23 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-09-08,01,2230.4,2293.0
D,2020-09-08,02,2123.3,2185.3
D,2020-09-08,03,2081.0,2133.7
D,2020-09-08,04,2048.9,2110.4
D,2020-09-08,05,2056.9,2144.9
D,2020-09-08,06,2207.0,2269.3
D,2020-09-08,07,2388.3,2475.5
D,2020-09-08,08,2617.3,2663.3
D,2020-09-08,09,2728.3,2842.0
D,2020-09-08,10,2816.4,2965.2
D,2020-09-08,11,2899.3,3099.9
D,2020-09-08,12,3018.4,3245.8
D,2020-09-08,13,3139.6,3413.3
D,2020-09-08,14,3329.8,3573.3
D,2020-09-08,15,3419.5,3667.0
D,2020-09-08,16,3467.4,3735.5
D,2020-09-08,17,3440.4,3767.4
D,2020-09-08,18,3447.9,3744.3
D,2020-09-08,19,3395.2,3600.4
D,2020-09-08,20,3304.0,3517.2
D,2020-09-08,21,3121.6,3385.5
D,2020-09-08,22,2947.1,3208.4
D,2020-09-08,23,2732.6,2968.5
D,2020-09-08,24,2515.3,2744.2
T,24 lines
