C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210621_20210621.csv
C,Time period: 2021-06-21 to 2021-06-21
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-06-29 03:51:03 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-06-21,01,2846.6,2863.96
D,2021-06-21,02,2704.0,2724.15
D,2021-06-21,03,2592.7,2628.19
D,2021-06-21,04,2561.5,2572.25
D,2021-06-21,05,2558.4,2589.22
D,2021-06-21,06,2632.4,2678.3
D,2021-06-21,07,2877.6,2943.08
D,2021-06-21,08,3161.8,3210.64
D,2021-06-21,09,3390.8,3455.33
D,2021-06-21,10,3602.2,3678.25
D,2021-06-21,11,3759.1,3898.1
D,2021-06-21,12,3944.1,4089.2
D,2021-06-21,13,4132.8,4197.33
D,2021-06-21,14,4215.2,4331.83
D,2021-06-21,15,4362.7,4438.35
D,2021-06-21,16,4461.7,4467.67
D,2021-06-21,17,4510.0,4419.14
D,2021-06-21,18,4522.7,4353.73
D,2021-06-21,19,4417.1,4203.16
D,2021-06-21,20,4197.2,4056.66
D,2021-06-21,21,4070.0,3941.82
D,2021-06-21,22,3860.9,3803.01
D,2021-06-21,23,3547.1,3547.92
D,2021-06-21,24,3267.5,3248.3
T,24 lines
