C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20201017_20201017.csv
C,Time period: 2020-10-17 to 2020-10-17
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2020-10-28 00:38:43 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2020-10-17,01,1956.7,1930.5
D,2020-10-17,02,1892.7,1848.2
D,2020-10-17,03,1839.7,1810.1
D,2020-10-17,04,1821.0,1788.9
D,2020-10-17,05,1833.2,1795.4
D,2020-10-17,06,1889.3,1847.8
D,2020-10-17,07,2017.7,1956.9
D,2020-10-17,08,2135.0,2076.1
D,2020-10-17,09,2234.0,2210.0
D,2020-10-17,10,2290.7,2314.5
D,2020-10-17,11,2325.1,2277.8
D,2020-10-17,12,2352.1,2214.3
D,2020-10-17,13,2328.9,2201.0
D,2020-10-17,14,2268.0,2168.7
D,2020-10-17,15,2271.1,2175.4
D,2020-10-17,16,2306.0,2202.2
D,2020-10-17,17,2346.0,2278.1
D,2020-10-17,18,2417.1,2380.1
D,2020-10-17,19,2494.7,2483.9
D,2020-10-17,20,2488.1,2457.6
D,2020-10-17,21,2413.6,2388.4
D,2020-10-17,22,2337.0,2298.2
D,2020-10-17,23,2172.0,2179.0
D,2020-10-17,24,2041.9,2050.8
T,24 lines
