04/01/17			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		934		217		172		550		1664		0		0		
	2		935		216		171		507		1595		0		0		
	3		935		216		172		503		1563		0		0		
	4		935		216		172		515		1450		0		0		
	5		935		218		172		573		1330		0		0		
	6		936		216		172		573		1106		0		0		
	7		936		215		171		574		937		42		0		
	8		938		214		170		572		940		1738		0		
	9		938		215		170		544		951		5059		62		
	10		937		214		171		494		888		6485		187		
	11		930		216		170		480		807		6895		238		
	12		932		212		170		464		791		6592		247		
	13		930		212		171		461		851		6950		229		
	14		928		217		171		460		653		7453		155		
	15		927		219		171		459		486		7736		177		
	16		927		224		171		460		386		7945		203		
	17		926		223		171		520		502		7139		221		
	18		925		224		170		549		878		5345		195		
	19		924		224		170		575		1388		1642		68		
	20		928		224		171		578		1927		39		0		
	21		930		224		171		578		2144		0		0		
	22		931		222		171		577		2074		0		0		
	23		931		222		171		576		2058		0		0		
	24		933		218		171		564		1865		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3537		2289		3628		7007		4186						
	2		3424		2289		2988		6695		4331						
	3		3389		2290		2765		6451		4336						
	4		3288		2289		2665		6595		4155						
	5		3228		2288		2597		6857		4108						
	6		3003		2289		2622		7501		4217						
	7		2875		2288		2611		8175		4565						
	8		4572		2287		2333		7449		4156						
	9		7939		2287		1912		5378		3359						
	10		9376		2288		1807		4287		3003						
	11		9736		2287		1761		4054		2996						
	12		9408		2287		1771		3932		3072						
	13		9804		2287		1656		3443		3024						
	14		10037		2287		1610		3233		3026						
	15		10175		2286		1698		3312		2964						
	16		10316		2285		1808		3591		2927						
	17		9702		2282		2250		4193		3406						
	18		8285		2283		2682		5424		3671						
	19		4991		2284		3793		7743		4649						
	20		3867		2283		5502		8234		4907						
	21		4047		2283		5237		8541		5085						
	22		3975		2283		4745		8571		4859						
	23		3958		2284		3820		8097		4813						
	24		3751		2285		3401		7574		4319						
