03/08/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		893		279		203		154		1360		0		0		
	2		895		279		206		163		1226		0		0		
	3		895		277		205		159		1195		0		0		
	4		895		276		204		155		1165		0		0		
	5		895		272		203		151		1090		0		0		
	6		895		280		203		149		998		0		0		
	7		894		296		203		150		901		0		0		
	8		893		297		203		165		904		675		0		
	9		892		298		203		175		839		4756		0		
	10		890		283		202		172		748		8528		134		
	11		887		275		202		135		772		9179		327		
	12		886		277		202		134		823		8792		361		
	13		886		270		202		113		860		8399		359		
	14		885		262		202		112		1008		8430		361		
	15		883		264		202		110		1211		8402		359		
	16		884		267		201		108		1262		7891		356		
	17		884		282		201		107		1665		6758		336		
	18		884		280		201		144		1690		4018		217		
	19		885		283		202		162		1584		529		3		
	20		886		282		202		199		1441		0		0		
	21		887		279		201		164		1360		0		0		
	22		888		277		201		158		1319		0		0		
	23		888		264		201		149		1210		0		0		
	24		889		257		201		146		1063		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2889		2255		7509		6941		837						
	2		2769		2255		7606		6476		753						
	3		2732		2254		7578		6412		753						
	4		2695		2254		7550		6347		669						
	5		2611		2254		7577		6800		417						
	6		2525		2255		7749		7014		367						
	7		2444		2256		7860		7577		310						
	8		3137		2256		7456		6962		627						
	9		7163		2256		6296		4280		417						
	10		10957		2257		4548		1875		309						
	11		11777		2256		4121		688		363						
	12		11475		2255		3808		927		287						
	13		11089		2254		3872		994		291						
	14		11260		2252		3827		796		178						
	15		11431		2250		4015		587		202						
	16		10969		2250		4579		842		287						
	17		10233		2250		5338		1544		512						
	18		7434		2251		5912		4187		1321						
	19		3648		2250		8171		7374		1929						
	20		3010		2252		9239		8455		2253						
	21		2891		2253		9582		8306		2111						
	22		2843		2253		9397		8026		1803						
	23		2712		2253		9125		7392		1384						
	24		2556		2253		8414		7206		897						
