11/03/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		275		302		237		248		226		0		0		
	2		275		303		237		229		227		0		0		
	3		275		303		237		229		219		0		0		
	4		275		307		237		230		205		0		0		
	5		276		315		238		230		203		0		0		
	6		275		324		238		253		210		0		0		
	7		275		333		238		256		214		516		0		
	8		275		326		240		239		182		4293		0		
	9		274		321		240		212		172		7318		0		
	10		274		330		240		192		166		8413		20		
	11		272		343		237		187		217		8418		230		
	12		271		349		235		185		202		8540		417		
	13		271		348		234		184		193		8625		399		
	14		270		348		234		187		153		8680		408		
	15		270		339		233		191		130		8200		376		
	16		271		332		236		200		116		5438		268		
	17		272		331		232		248		193		1105		23		
	18		275		331		236		272		239		0		0		
	19		276		331		236		295		238		0		0		
	20		276		328		235		288		233		0		0		
	21		276		328		233		275		266		0		0		
	22		276		330		234		237		288		0		0		
	23		276		327		231		233		278		0		0		
	24		317		315		231		221		255		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1288		1114		10252		4899		2181						
	2		1271		1113		9895		5181		1675						
	3		1263		1114		9533		5241		1720						
	4		1254		1116		9642		5160		1622						
	5		1262		1114		9767		5232		1574						
	6		1300		1113		10234		5057		1785						
	7		1832		1114		9951		5317		1844						
	8		5555		1114		8259		3809		1604						
	9		8537		1113		6618		2408		1242						
	10		9635		1113		5307		2287		1086						
	11		9904		1113		4958		2089		1019						
	12		10199		1112		4518		2449		919						
	13		10254		1112		4701		2514		961						
	14		10280		1112		4966		2939		988						
	15		9739		1112		5513		3390		1350						
	16		6861		1112		8109		4340		1964						
	17		2404		1111		11969		5963		2407						
	18		1353		1111		13217		6973		3077						
	19		1376		1110		13539		6936		2869						
	20		1360		1110		14316		5224		3117						
	21		1378		1110		13357		5965		2429						
	22		1365		1109		12798		6205		1830						
	23		1345		1110		11480		6353		1524						
	24		1339		1110		10745		6008		1337						
