12/31/17			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		974		314		243		267		610		0		0		
	2		974		314		244		268		559		0		0		
	3		975		314		243		268		425		0		0		
	4		976		311		243		268		348		0		0		
	5		976		312		244		268		424		0		0		
	6		976		298		244		270		357		0		0		
	7		976		296		244		428		311		0		0		
	8		977		297		243		480		337		367		0		
	9		976		305		243		478		233		2877		0		
	10		975		320		243		317		113		4957		0		
	11		974		324		244		293		137		5734		245		
	12		973		328		246		288		154		5669		307		
	13		970		328		246		273		127		5282		268		
	14		970		325		245		292		155		5358		319		
	15		972		327		244		293		230		4853		257		
	16		971		331		244		310		249		2971		100		
	17		972		329		244		388		249		332		0		
	18		973		330		245		522		263		0		0		
	19		975		325		245		538		245		0		0		
	20		975		321		245		550		315		0		0		
	21		975		317		245		551		221		0		0		
	22		975		316		245		421		241		0		0		
	23		976		306		244		349		185		0		0		
	24		976		306		243		305		230		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2216		2263		6638		8212		1981						
	2		2364		2262		5758		8170		2051						
	3		2228		2262		5720		8035		2008						
	4		2151		2263		5691		7862		2049						
	5		2230		2263		5577		7983		2000						
	6		2151		2264		5845		8250		1942						
	7		2261		2265		5972		8569		2130						
	8		2705		2264		6073		8399		2224						
	9		5115		2265		5216		7296		1947						
	10		6931		2265		4536		6141		1870						
	11		7957		2263		4402		5020		1844						
	12		7972		2262		4586		4600		1819						
	13		7502		2261		5167		4542		1777						
	14		7670		2260		5316		4569		1698						
	15		7182		2260		5498		5046		1866						
	16		5180		2260		6131		6871		2003						
	17		2520		2259		7654		8584		2577						
	18		2336		2261		8560		10067		3308						
	19		2329		2261		8554		10163		3396						
	20		2406		2260		8363		9927		2976						
	21		2309		2262		8200		9587		2755						
	22		2199		2262		8064		9121		2577						
	23		2060		2261		8237		8311		2379						
	24		2060		2260		8002		7547		2305						
