04/25/18			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		934		298		236		440		2697		0		0		
	2		934		297		237		436		2864		0		0		
	3		933		297		236		398		2882		0		0		
	4		933		300		236		397		2707		0		0		
	5		933		302		236		429		2557		0		0		
	6		932		300		237		440		2308		0		0		
	7		923		298		236		565		2052		563		0		
	8		931		303		230		606		1876		3959		164		
	9		913		300		227		558		1566		7455		443		
	10		926		291		227		438		1297		8128		554		
	11		924		281		229		431		1059		9136		577		
	12		923		283		228		430		926		9167		583		
	13		919		290		229		429		997		9192		573		
	14		917		288		229		428		1093		9619		570		
	15		926		286		230		428		1165		9703		584		
	16		915		287		231		535		1450		9215		562		
	17		905		286		231		549		1738		8341		526		
	18		906		285		234		562		1937		6260		482		
	19		916		280		238		597		2255		2540		218		
	20		919		270		239		597		2661		150		0		
	21		917		258		238		593		2938		0		0		
	22		918		246		236		594		3075		0		0		
	23		922		251		238		461		3360		0		0		
	24		924		252		238		415		3380		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4605		2281		5008		7238		2651						
	2		4768		2280		4265		7131		2421						
	3		3813		2284		5181		6724		2305						
	4		4573		2284		4245		6661		2325						
	5		4457		2280		4661		6721		2356						
	6		4217		2282		5613		6806		2902						
	7		4637		2283		6518		6996		3141						
	8		8069		2281		5299		5899		2998						
	9		11462		2282		4608		3607		2544						
	10		11861		2282		4668		3057		2380						
	11		12637		2280		4620		2102		2476						
	12		12540		2280		5027		1817		2301						
	13		12629		2280		5016		1698		2341						
	14		13144		2279		5331		1205		2510						
	15		13322		2279		5713		1007		2712						
	16		13195		2280		5922		1452		2932						
	17		12576		2282		6270		2375		3133						
	18		10666		2279		7130		4066		3342						
	19		7044		2280		8819		5877		3948						
	20		4836		2281		10076		7359		4147						
	21		4944		2281		9996		7886		4130						
	22		5069		2280		9280		7448		3741						
	23		5232		2282		7374		7331		3278						
	24		5209		2285		5569		7526		2822						
